symbol,buy_param,sell_param,fee_,CAGR,Accumulated return,Average return,Benchmark return,Number of trades,Number of win,Hit ratio,Investment period,Sharpe ratio,MDD,Benchmark MDD
AAPL,-10,-10,0.001,0.15039999999999998,1.0154,,1.3144,1.0,0.0,0.0,5.0,0.37,-0.35100000000000003,-0.3336
AAPL,-10,-9,0.001,0.0325,0.1734,0.1734,1.3144,1.0,1.0,1.0,5.0,0.14,-0.0424,-0.3336
AAPL,-10,-8,0.001,0.0268,0.1413,0.1413,1.3144,1.0,1.0,1.0,5.0,0.07,-0.0424,-0.3336
AAPL,-10,-7,0.001,0.0346,0.1855,0.1855,1.3144,1.0,1.0,1.0,5.0,0.15,-0.0462,-0.3336
AAPL,-10,-6,0.001,0.0384,0.2073,0.2073,1.3144,1.0,1.0,1.0,5.0,0.19,-0.0462,-0.3336
AAPL,-10,-5,0.001,0.0384,0.2073,0.2073,1.3144,1.0,1.0,1.0,5.0,0.19,-0.0462,-0.3336
AAPL,-10,-4,0.001,0.0393,0.2126,0.2126,1.3144,1.0,1.0,1.0,5.0,0.2,-0.0462,-0.3336
AAPL,-10,-3,0.001,0.0401,0.21760000000000002,0.21760000000000002,1.3144,1.0,1.0,1.0,5.0,0.21,-0.0462,-0.3336
AAPL,-10,-2,0.001,0.0425,0.23120000000000002,0.23120000000000002,1.3144,1.0,1.0,1.0,5.0,0.23,-0.0462,-0.3336
AAPL,-10,-1,0.001,0.0433,0.23600000000000002,0.23600000000000002,1.3144,1.0,1.0,1.0,5.0,0.24,-0.0462,-0.3336
AAPL,-10,0,0.001,0.0417,0.2268,0.2268,1.3144,1.0,1.0,1.0,5.0,0.21,-0.08,-0.3336
AAPL,-10,1,0.001,0.0356,0.19149999999999998,,1.3144,1.0,0.0,0.0,5.0,0.14,-0.0834,-0.3336
AAPL,-10,2,0.001,0.0356,0.19149999999999998,,1.3144,1.0,0.0,0.0,5.0,0.14,-0.0834,-0.3336
AAPL,-10,3,0.001,0.0356,0.19149999999999998,,1.3144,1.0,0.0,0.0,5.0,0.14,-0.0834,-0.3336
AAPL,-10,4,0.001,0.0356,0.19149999999999998,,1.3144,1.0,0.0,0.0,5.0,0.14,-0.0834,-0.3336
AAPL,-10,5,0.001,0.0356,0.19149999999999998,,1.3144,1.0,0.0,0.0,5.0,0.14,-0.0834,-0.3336
AAPL,-10,6,0.001,0.0356,0.19149999999999998,,1.3144,1.0,0.0,0.0,5.0,0.14,-0.0834,-0.3336
AAPL,-10,7,0.001,0.0356,0.19149999999999998,,1.3144,1.0,0.0,0.0,5.0,0.14,-0.0834,-0.3336
AAPL,-10,8,0.001,0.0356,0.19149999999999998,,1.3144,1.0,0.0,0.0,5.0,0.14,-0.0834,-0.3336
AAPL,-10,9,0.001,0.0356,0.19149999999999998,,1.3144,1.0,0.0,0.0,5.0,0.14,-0.0834,-0.3336
AAPL,-10,10,0.001,0.0356,0.19149999999999998,,1.3144,1.0,0.0,0.0,5.0,0.14,-0.0834,-0.3336
AAPL,-9,-10,0.001,0.1454,0.972,,1.3144,1.0,0.0,0.0,5.0,0.36,-0.365,-0.3336
AAPL,-9,-9,0.001,0.1454,0.972,,1.3144,1.0,0.0,0.0,5.0,0.36,-0.365,-0.3336
AAPL,-9,-8,0.001,0.0268,0.1413,0.1413,1.3144,1.0,1.0,1.0,5.0,0.07,-0.0424,-0.3336
AAPL,-9,-7,0.001,0.0346,0.1855,0.1855,1.3144,1.0,1.0,1.0,5.0,0.15,-0.0462,-0.3336
AAPL,-9,-6,0.001,0.0384,0.2073,0.2073,1.3144,1.0,1.0,1.0,5.0,0.19,-0.0462,-0.3336
AAPL,-9,-5,0.001,0.0384,0.2073,0.2073,1.3144,1.0,1.0,1.0,5.0,0.19,-0.0462,-0.3336
AAPL,-9,-4,0.001,0.0393,0.2126,0.2126,1.3144,1.0,1.0,1.0,5.0,0.2,-0.0462,-0.3336
AAPL,-9,-3,0.001,0.0401,0.21760000000000002,0.21760000000000002,1.3144,1.0,1.0,1.0,5.0,0.21,-0.0462,-0.3336
AAPL,-9,-2,0.001,0.0425,0.23120000000000002,0.23120000000000002,1.3144,1.0,1.0,1.0,5.0,0.23,-0.0462,-0.3336
AAPL,-9,-1,0.001,0.0433,0.23600000000000002,0.23600000000000002,1.3144,1.0,1.0,1.0,5.0,0.24,-0.0462,-0.3336
AAPL,-9,0,0.001,0.0417,0.2268,0.2268,1.3144,1.0,1.0,1.0,5.0,0.21,-0.08,-0.3336
AAPL,-9,1,0.001,0.0356,0.19149999999999998,,1.3144,1.0,0.0,0.0,5.0,0.14,-0.0834,-0.3336
AAPL,-9,2,0.001,0.0356,0.19149999999999998,,1.3144,1.0,0.0,0.0,5.0,0.14,-0.0834,-0.3336
AAPL,-9,3,0.001,0.0356,0.19149999999999998,,1.3144,1.0,0.0,0.0,5.0,0.14,-0.0834,-0.3336
AAPL,-9,4,0.001,0.0356,0.19149999999999998,,1.3144,1.0,0.0,0.0,5.0,0.14,-0.0834,-0.3336
AAPL,-9,5,0.001,0.0356,0.19149999999999998,,1.3144,1.0,0.0,0.0,5.0,0.14,-0.0834,-0.3336
AAPL,-9,6,0.001,0.0356,0.19149999999999998,,1.3144,1.0,0.0,0.0,5.0,0.14,-0.0834,-0.3336
AAPL,-9,7,0.001,0.0356,0.19149999999999998,,1.3144,1.0,0.0,0.0,5.0,0.14,-0.0834,-0.3336
AAPL,-9,8,0.001,0.0356,0.19149999999999998,,1.3144,1.0,0.0,0.0,5.0,0.14,-0.0834,-0.3336
AAPL,-9,9,0.001,0.0356,0.19149999999999998,,1.3144,1.0,0.0,0.0,5.0,0.14,-0.0834,-0.3336
AAPL,-9,10,0.001,0.0356,0.19149999999999998,,1.3144,1.0,0.0,0.0,5.0,0.14,-0.0834,-0.3336
AAPL,-8,-10,0.001,0.1517,1.0273999999999999,,1.3144,1.0,0.0,0.0,5.0,0.38,-0.3472,-0.3336
AAPL,-8,-9,0.001,0.1517,1.0273999999999999,,1.3144,1.0,0.0,0.0,5.0,0.38,-0.3472,-0.3336
AAPL,-8,-8,0.001,0.1636,1.1337000000000002,,1.3144,1.0,0.0,0.0,5.0,0.41,-0.313,-0.3336
AAPL,-8,-7,0.001,0.0241,0.1264,0.1264,1.3144,1.0,1.0,1.0,5.0,0.04,-0.049800000000000004,-0.3336
AAPL,-8,-6,0.001,0.0278,0.1472,0.1472,1.3144,1.0,1.0,1.0,5.0,0.08,-0.049800000000000004,-0.3336
AAPL,-8,-5,0.001,0.0278,0.1472,0.1472,1.3144,1.0,1.0,1.0,5.0,0.08,-0.049800000000000004,-0.3336
AAPL,-8,-4,0.001,0.0287,0.1522,0.1522,1.3144,1.0,1.0,1.0,5.0,0.09,-0.049800000000000004,-0.3336
AAPL,-8,-3,0.001,0.0296,0.15689999999999998,0.15689999999999998,1.3144,1.0,1.0,1.0,5.0,0.1,-0.049800000000000004,-0.3336
AAPL,-8,-2,0.001,0.0319,0.1699,0.1699,1.3144,1.0,1.0,1.0,5.0,0.12,-0.049800000000000004,-0.3336
AAPL,-8,-1,0.001,0.0327,0.1744,0.1744,1.3144,1.0,1.0,1.0,5.0,0.13,-0.049800000000000004,-0.3336
AAPL,-8,0,0.001,0.0311,0.1656,0.1656,1.3144,1.0,1.0,1.0,5.0,0.1,-0.08,-0.3336
AAPL,-8,1,0.001,0.025099999999999997,0.1322,,1.3144,1.0,0.0,0.0,5.0,0.04,-0.0834,-0.3336
AAPL,-8,2,0.001,0.025099999999999997,0.1322,,1.3144,1.0,0.0,0.0,5.0,0.04,-0.0834,-0.3336
AAPL,-8,3,0.001,0.025099999999999997,0.1322,,1.3144,1.0,0.0,0.0,5.0,0.04,-0.0834,-0.3336
AAPL,-8,4,0.001,0.025099999999999997,0.1322,,1.3144,1.0,0.0,0.0,5.0,0.04,-0.0834,-0.3336
AAPL,-8,5,0.001,0.025099999999999997,0.1322,,1.3144,1.0,0.0,0.0,5.0,0.04,-0.0834,-0.3336
AAPL,-8,6,0.001,0.025099999999999997,0.1322,,1.3144,1.0,0.0,0.0,5.0,0.04,-0.0834,-0.3336
AAPL,-8,7,0.001,0.025099999999999997,0.1322,,1.3144,1.0,0.0,0.0,5.0,0.04,-0.0834,-0.3336
AAPL,-8,8,0.001,0.025099999999999997,0.1322,,1.3144,1.0,0.0,0.0,5.0,0.04,-0.0834,-0.3336
AAPL,-8,9,0.001,0.025099999999999997,0.1322,,1.3144,1.0,0.0,0.0,5.0,0.04,-0.0834,-0.3336
AAPL,-8,10,0.001,0.025099999999999997,0.1322,,1.3144,1.0,0.0,0.0,5.0,0.04,-0.0834,-0.3336
AAPL,-7,-10,0.001,0.14300000000000002,0.9519,,1.3144,1.0,0.0,0.0,5.0,0.36,-0.3638,-0.3336
AAPL,-7,-9,0.001,0.14300000000000002,0.9519,,1.3144,1.0,0.0,0.0,5.0,0.36,-0.3638,-0.3336
AAPL,-7,-8,0.001,0.1548,1.0543,,1.3144,1.0,0.0,0.0,5.0,0.39,-0.33049999999999996,-0.3336
AAPL,-7,-7,0.001,0.1548,1.0543,,1.3144,1.0,0.0,0.0,5.0,0.39,-0.33049999999999996,-0.3336
AAPL,-7,-6,0.001,0.0278,0.1472,0.1472,1.3144,1.0,1.0,1.0,5.0,0.08,-0.049800000000000004,-0.3336
AAPL,-7,-5,0.001,0.0278,0.1472,0.1472,1.3144,1.0,1.0,1.0,5.0,0.08,-0.049800000000000004,-0.3336
AAPL,-7,-4,0.001,0.0287,0.1522,0.1522,1.3144,1.0,1.0,1.0,5.0,0.09,-0.049800000000000004,-0.3336
AAPL,-7,-3,0.001,0.0296,0.15689999999999998,0.15689999999999998,1.3144,1.0,1.0,1.0,5.0,0.1,-0.049800000000000004,-0.3336
AAPL,-7,-2,0.001,0.0319,0.1699,0.1699,1.3144,1.0,1.0,1.0,5.0,0.12,-0.049800000000000004,-0.3336
AAPL,-7,-1,0.001,0.0327,0.1744,0.1744,1.3144,1.0,1.0,1.0,5.0,0.13,-0.049800000000000004,-0.3336
AAPL,-7,0,0.001,0.0311,0.1656,0.1656,1.3144,1.0,1.0,1.0,5.0,0.1,-0.08,-0.3336
AAPL,-7,1,0.001,0.025099999999999997,0.1322,,1.3144,1.0,0.0,0.0,5.0,0.04,-0.0834,-0.3336
AAPL,-7,2,0.001,0.025099999999999997,0.1322,,1.3144,1.0,0.0,0.0,5.0,0.04,-0.0834,-0.3336
AAPL,-7,3,0.001,0.025099999999999997,0.1322,,1.3144,1.0,0.0,0.0,5.0,0.04,-0.0834,-0.3336
AAPL,-7,4,0.001,0.025099999999999997,0.1322,,1.3144,1.0,0.0,0.0,5.0,0.04,-0.0834,-0.3336
AAPL,-7,5,0.001,0.025099999999999997,0.1322,,1.3144,1.0,0.0,0.0,5.0,0.04,-0.0834,-0.3336
AAPL,-7,6,0.001,0.025099999999999997,0.1322,,1.3144,1.0,0.0,0.0,5.0,0.04,-0.0834,-0.3336
AAPL,-7,7,0.001,0.025099999999999997,0.1322,,1.3144,1.0,0.0,0.0,5.0,0.04,-0.0834,-0.3336
AAPL,-7,8,0.001,0.025099999999999997,0.1322,,1.3144,1.0,0.0,0.0,5.0,0.04,-0.0834,-0.3336
AAPL,-7,9,0.001,0.025099999999999997,0.1322,,1.3144,1.0,0.0,0.0,5.0,0.04,-0.0834,-0.3336
AAPL,-7,10,0.001,0.025099999999999997,0.1322,,1.3144,1.0,0.0,0.0,5.0,0.04,-0.0834,-0.3336
AAPL,-6,-10,0.001,0.1389,0.9166,,1.3144,1.0,0.0,0.0,5.0,0.34,-0.3753,-0.3336
AAPL,-6,-9,0.001,0.1389,0.9166,,1.3144,1.0,0.0,0.0,5.0,0.34,-0.3753,-0.3336
AAPL,-6,-8,0.001,0.1506,1.0171,,1.3144,1.0,0.0,0.0,5.0,0.38,-0.34259999999999996,-0.3336
AAPL,-6,-7,0.001,0.1506,1.0171,,1.3144,1.0,0.0,0.0,5.0,0.38,-0.34259999999999996,-0.3336
AAPL,-6,-6,0.001,0.1411,0.9355,0.1807,1.3144,3.0,1.0,0.3333,5.0,0.35,-0.3407,-0.3336
AAPL,-6,-5,0.001,0.0446,0.2438,0.0759,1.3144,3.0,3.0,1.0,5.0,0.23,-0.0947,-0.3336
AAPL,-6,-4,0.001,0.0447,0.24480000000000002,0.0762,1.3144,3.0,3.0,1.0,5.0,0.22,-0.09269999999999999,-0.3336
AAPL,-6,-3,0.001,0.0425,0.2316,0.0723,1.3144,3.0,3.0,1.0,5.0,0.2,-0.0855,-0.3336
AAPL,-6,-2,0.001,0.0042,0.0213,0.0108,1.3144,2.0,1.0,0.5,5.0,-0.11,-0.2465,-0.3336
AAPL,-6,-1,0.001,0.011699999999999999,0.06,0.0301,1.3144,2.0,1.0,0.5,5.0,-0.06,-0.2299,-0.3336
AAPL,-6,0,0.001,0.008199999999999999,0.0415,0.021,1.3144,2.0,1.0,0.5,5.0,-0.08,-0.2299,-0.3336
AAPL,-6,1,0.001,0.0095,0.048600000000000004,0.09230000000000001,1.3144,2.0,1.0,0.5,5.0,-0.07,-0.2299,-0.3336
AAPL,-6,2,0.001,0.0134,0.06860000000000001,0.1131,1.3144,2.0,1.0,0.5,5.0,-0.04,-0.2299,-0.3336
AAPL,-6,3,0.001,0.0183,0.09480000000000001,0.1404,1.3144,2.0,1.0,0.5,5.0,-0.01,-0.2299,-0.3336
AAPL,-6,4,0.001,0.0256,0.13470000000000001,0.182,1.3144,2.0,1.0,0.5,5.0,0.04,-0.2299,-0.3336
AAPL,-6,5,0.001,0.0297,0.1578,0.20600000000000002,1.3144,2.0,1.0,0.5,5.0,0.06,-0.2299,-0.3336
AAPL,-6,6,0.001,0.039,0.21100000000000002,0.2614,1.3144,2.0,1.0,0.5,5.0,0.12,-0.2299,-0.3336
AAPL,-6,7,0.001,0.08449999999999999,0.5005,0.563,1.3144,2.0,1.0,0.5,5.0,0.26,-0.2826,-0.3336
AAPL,-6,8,0.001,0.0863,0.5132,0.5761999999999999,1.3144,2.0,1.0,0.5,5.0,0.27,-0.2826,-0.3336
AAPL,-6,9,0.001,0.087,0.5178,,1.3144,1.0,0.0,0.0,5.0,0.25,-0.3336,-0.3336
AAPL,-6,10,0.001,0.087,0.5178,,1.3144,1.0,0.0,0.0,5.0,0.25,-0.3336,-0.3336
AAPL,-5,-10,0.001,0.1389,0.9166,,1.3144,1.0,0.0,0.0,5.0,0.34,-0.3753,-0.3336
AAPL,-5,-9,0.001,0.1389,0.9166,,1.3144,1.0,0.0,0.0,5.0,0.34,-0.3753,-0.3336
AAPL,-5,-8,0.001,0.1506,1.0171,,1.3144,1.0,0.0,0.0,5.0,0.38,-0.34259999999999996,-0.3336
AAPL,-5,-7,0.001,0.1506,1.0171,,1.3144,1.0,0.0,0.0,5.0,0.38,-0.34259999999999996,-0.3336
AAPL,-5,-6,0.001,0.13119999999999998,0.8529000000000001,0.1496,1.3144,3.0,1.0,0.3333,5.0,0.32,-0.3665,-0.3336
AAPL,-5,-5,0.001,0.12179999999999999,0.7768,0.0727,1.3144,5.0,1.0,0.2,5.0,0.3,-0.38380000000000003,-0.3336
AAPL,-5,-4,0.001,0.0625,0.3543,0.063,1.3144,5.0,5.0,1.0,5.0,0.35,-0.09269999999999999,-0.3336
AAPL,-5,-3,0.001,0.052300000000000006,0.2904,0.053,1.3144,5.0,4.0,0.8,5.0,0.26,-0.0855,-0.3336
AAPL,-5,-2,0.001,0.0046,0.023399999999999997,0.0084,1.3144,3.0,1.0,0.3333,5.0,-0.1,-0.2299,-0.3336
AAPL,-5,-1,0.001,0.0161,0.083,0.0276,1.3144,3.0,2.0,0.6667000000000001,5.0,-0.03,-0.2299,-0.3336
