symbol,buy_param,sell_param,fee_,CAGR,Accumulated return,Average return,Benchmark return,Number of trades,Number of win,Hit ratio,Investment period,Sharpe ratio,MDD,Benchmark MDD
AMZN,-10,-10,0.001,0.09179999999999999,0.5514,,0.5905,1.0,0.0,0.0,5.0,0.17,-0.5536,-0.5615
AMZN,-10,-9,0.001,0.004,0.02,0.02,0.5905,1.0,1.0,1.0,5.0,-0.24,-0.0977,-0.5615
AMZN,-10,-8,0.001,0.011200000000000002,0.0574,0.0574,0.5905,1.0,1.0,1.0,5.0,-0.13,-0.0977,-0.5615
AMZN,-10,-7,0.001,0.02,0.1039,0.1039,0.5905,1.0,1.0,1.0,5.0,-0.0,-0.0977,-0.5615
AMZN,-10,-6,0.001,0.022400000000000003,0.1174,0.1174,0.5905,1.0,1.0,1.0,5.0,0.03,-0.0977,-0.5615
AMZN,-10,-5,0.001,0.0288,0.1525,0.1525,0.5905,1.0,1.0,1.0,5.0,0.12,-0.0977,-0.5615
AMZN,-10,-4,0.001,0.0236,0.1235,0.1235,0.5905,1.0,1.0,1.0,5.0,0.05,-0.0977,-0.5615
AMZN,-10,-3,0.001,0.0276,0.1459,0.1459,0.5905,1.0,1.0,1.0,5.0,0.1,-0.0977,-0.5615
AMZN,-10,-2,0.001,0.0246,0.1295,0.1295,0.5905,1.0,1.0,1.0,5.0,0.06,-0.0977,-0.5615
AMZN,-10,-1,0.001,0.011899999999999999,0.061,0.061,0.5905,1.0,1.0,1.0,5.0,-0.07,-0.1848,-0.5615
AMZN,-10,0,0.001,0.0165,0.0855,0.0855,0.5905,1.0,1.0,1.0,5.0,-0.03,-0.1848,-0.5615
AMZN,-10,1,0.001,0.0273,0.1445,0.1445,0.5905,1.0,1.0,1.0,5.0,0.06,-0.1848,-0.5615
AMZN,-10,2,0.001,0.0215,0.1124,0.1124,0.5905,1.0,1.0,1.0,5.0,0.01,-0.1848,-0.5615
AMZN,-10,3,0.001,0.0438,0.23920000000000002,0.23920000000000002,0.5905,1.0,1.0,1.0,5.0,0.17,-0.1848,-0.5615
AMZN,-10,4,0.001,0.044500000000000005,0.2433,0.2433,0.5905,1.0,1.0,1.0,5.0,0.18,-0.1848,-0.5615
AMZN,-10,5,0.001,0.0508,0.2812,0.2812,0.5905,1.0,1.0,1.0,5.0,0.22,-0.1848,-0.5615
AMZN,-10,6,0.001,0.0553,0.30920000000000003,0.30920000000000003,0.5905,1.0,1.0,1.0,5.0,0.25,-0.1848,-0.5615
AMZN,-10,7,0.001,0.0555,0.3103,0.3103,0.5905,1.0,1.0,1.0,5.0,0.25,-0.1848,-0.5615
AMZN,-10,8,0.001,0.1641,1.139,1.139,0.5905,1.0,1.0,1.0,5.0,0.46,-0.4349,-0.5615
AMZN,-10,9,0.001,0.1505,1.0166,,0.5905,1.0,0.0,0.0,5.0,0.38,-0.4349,-0.5615
AMZN,-10,10,0.001,0.1505,1.0166,,0.5905,1.0,0.0,0.0,5.0,0.38,-0.4349,-0.5615
AMZN,-9,-10,0.001,0.0832,0.4914,,0.5905,1.0,0.0,0.0,5.0,0.15,-0.5709000000000001,-0.5615
AMZN,-9,-9,0.001,0.09480000000000001,0.5733,,0.5905,1.0,0.0,0.0,5.0,0.18,-0.5473,-0.5615
AMZN,-9,-8,0.001,0.0005,0.0023,0.0023,0.5905,1.0,1.0,1.0,5.0,-0.26,-0.0977,-0.5615
AMZN,-9,-7,0.001,0.0091,0.0464,0.0464,0.5905,1.0,1.0,1.0,5.0,-0.14,-0.0977,-0.5615
