symbol,buy_param,sell_param,fee_,CAGR,Accumulated return,Average return,Benchmark return,Number of trades,Number of win,Hit ratio,Investment period,Sharpe ratio,MDD,Benchmark MDD
MSFT,-10,-10,0.001,0.1957,1.4456,,1.5511000000000001,1.0,0.0,0.0,5.0,0.54,-0.3715,-0.3715
MSFT,-10,-9,0.001,0.0083,0.0421,0.0421,1.5511000000000001,1.0,1.0,1.0,5.0,-0.93,-0.003,-0.3715
MSFT,-10,-8,0.001,0.0106,0.054400000000000004,0.054400000000000004,1.5511000000000001,1.0,1.0,1.0,5.0,-0.67,-0.003,-0.3715
MSFT,-10,-7,0.001,0.009399999999999999,0.048,0.048,1.5511000000000001,1.0,1.0,1.0,5.0,-0.72,-0.0070999999999999995,-0.3715
MSFT,-10,-6,0.001,0.0109,0.0557,0.0557,1.5511000000000001,1.0,1.0,1.0,5.0,-0.61,-0.0060999999999999995,-0.3715
MSFT,-10,-5,0.001,0.0125,0.0639,0.0639,1.5511000000000001,1.0,1.0,1.0,5.0,-0.48,-0.0060999999999999995,-0.3715
MSFT,-10,-4,0.001,0.0121,0.0622,0.0622,1.5511000000000001,1.0,1.0,1.0,5.0,-0.5,-0.0060999999999999995,-0.3715
MSFT,-10,-3,0.001,0.0088,0.0447,0.0447,1.5511000000000001,1.0,1.0,1.0,5.0,-0.54,-0.0334,-0.3715
MSFT,-10,-2,0.001,0.013500000000000002,0.0694,0.0694,1.5511000000000001,1.0,1.0,1.0,5.0,-0.21,-0.054400000000000004,-0.3715
MSFT,-10,-1,0.001,0.0152,0.0784,0.0784,1.5511000000000001,1.0,1.0,1.0,5.0,-0.16,-0.054400000000000004,-0.3715
MSFT,-10,0,0.001,0.0152,0.0784,0.0784,1.5511000000000001,1.0,1.0,1.0,5.0,-0.16,-0.054400000000000004,-0.3715
MSFT,-10,1,0.001,0.015600000000000001,0.0803,0.0803,1.5511000000000001,1.0,1.0,1.0,5.0,-0.14,-0.054400000000000004,-0.3715
MSFT,-10,2,0.001,0.0173,0.0898,0.0898,1.5511000000000001,1.0,1.0,1.0,5.0,-0.09,-0.054400000000000004,-0.3715
MSFT,-10,3,0.001,0.019,0.0987,0.0987,1.5511000000000001,1.0,1.0,1.0,5.0,-0.03,-0.054400000000000004,-0.3715
MSFT,-10,4,0.001,0.0174,0.0901,0.0901,1.5511000000000001,1.0,1.0,1.0,5.0,-0.08,-0.054400000000000004,-0.3715
MSFT,-10,5,0.001,0.0216,0.1131,0.1131,1.5511000000000001,1.0,1.0,1.0,5.0,0.03,-0.0737,-0.3715
MSFT,-10,6,0.001,0.0215,0.1125,0.1125,1.5511000000000001,1.0,1.0,1.0,5.0,0.02,-0.0737,-0.3715
MSFT,-10,7,0.001,0.024399999999999998,0.1282,0.1282,1.5511000000000001,1.0,1.0,1.0,5.0,0.07,-0.0737,-0.3715
MSFT,-10,8,0.001,0.026600000000000002,0.1404,0.1404,1.5511000000000001,1.0,1.0,1.0,5.0,0.11,-0.0737,-0.3715
MSFT,-10,9,0.001,0.018600000000000002,0.0967,0.0967,1.5511000000000001,1.0,1.0,1.0,5.0,-0.01,-0.2183,-0.3715
MSFT,-10,10,0.001,0.018600000000000002,0.0967,0.0967,1.5511000000000001,1.0,1.0,1.0,5.0,-0.01,-0.2183,-0.3715
