symbol,buy_param,sell_param,fee_,CAGR,Accumulated return,Average return,Benchmark return,Number of trades,Number of win,Hit ratio,Investment period,Sharpe ratio,MDD,Benchmark MDD
NVDA,-10,-10,0.001,0.7541,15.6305,,15.6832,0.0,0.0,0.0,5.0,1.15,-0.6635,-0.6635
NVDA,-10,-9,0.001,0.0,0.0,,15.6832,0.0,0.0,0.0,5.0,0.0,0.0,-0.6635
NVDA,-10,-8,0.001,0.0,0.0,,15.6832,0.0,0.0,0.0,5.0,0.0,0.0,-0.6635
NVDA,-10,-7,0.001,0.0,0.0,,15.6832,0.0,0.0,0.0,5.0,0.0,0.0,-0.6635
NVDA,-10,-6,0.001,0.0,0.0,,15.6832,0.0,0.0,0.0,5.0,0.0,0.0,-0.6635
NVDA,-10,-5,0.001,0.0,0.0,,15.6832,0.0,0.0,0.0,5.0,0.0,0.0,-0.6635
NVDA,-10,-4,0.001,0.0,0.0,,15.6832,0.0,0.0,0.0,5.0,0.0,0.0,-0.6635
NVDA,-10,-3,0.001,0.0,0.0,,15.6832,0.0,0.0,0.0,5.0,0.0,0.0,-0.6635
NVDA,-10,-2,0.001,0.0,0.0,,15.6832,0.0,0.0,0.0,5.0,0.0,0.0,-0.6635
NVDA,-10,-1,0.001,0.0,0.0,,15.6832,0.0,0.0,0.0,5.0,0.0,0.0,-0.6635
NVDA,-10,0,0.001,0.0,0.0,,15.6832,0.0,0.0,0.0,5.0,0.0,0.0,-0.6635
NVDA,-10,1,0.001,0.0,0.0,,15.6832,0.0,0.0,0.0,5.0,0.0,0.0,-0.6635
NVDA,-10,2,0.001,0.0,0.0,,15.6832,0.0,0.0,0.0,5.0,0.0,0.0,-0.6635
NVDA,-10,3,0.001,0.0,0.0,,15.6832,0.0,0.0,0.0,5.0,0.0,0.0,-0.6635
NVDA,-10,4,0.001,0.0,0.0,,15.6832,0.0,0.0,0.0,5.0,0.0,0.0,-0.6635
NVDA,-10,5,0.001,0.0,0.0,,15.6832,0.0,0.0,0.0,5.0,0.0,0.0,-0.6635
NVDA,-10,6,0.001,0.0,0.0,,15.6832,0.0,0.0,0.0,5.0,0.0,0.0,-0.6635
