symbol,buy_param,sell_param,fee_,CAGR,Accumulated return,Average return,Benchmark return,Number of trades,Number of win,Hit ratio,Investment period,Sharpe ratio,MDD,Benchmark MDD
TSLA,-10,-10,0.001,0.253,2.0907,0.0215,3.4126,17.0,4.0,0.2353,5.0,0.35,-0.7128,-0.7363
TSLA,-10,-9,0.001,0.0326,0.1739,0.019,3.4126,14.0,10.0,0.7143,5.0,0.03,-0.5092,-0.7363
TSLA,-10,-8,0.001,-0.02,-0.0962,-0.0006,3.4126,11.0,7.0,0.6364,5.0,-0.1,-0.5153,-0.7363
TSLA,-10,-7,0.001,-0.0319,-0.1499,-0.0005,3.4126,10.0,7.0,0.7,5.0,-0.12,-0.5958,-0.7363
TSLA,-10,-6,0.001,0.009399999999999999,0.0481,0.0227,3.4126,10.0,7.0,0.7,5.0,-0.03,-0.5958,-0.7363
TSLA,-10,-5,0.001,-0.0059,-0.0292,0.0154,3.4126,10.0,7.0,0.7,5.0,-0.06,-0.6175,-0.7363
TSLA,-10,-4,0.001,0.0097,0.0496,0.0229,3.4126,10.0,7.0,0.7,5.0,-0.02,-0.5893999999999999,-0.7363
TSLA,-10,-3,0.001,0.0189,0.0984,0.0273,3.4126,10.0,7.0,0.7,5.0,-0.0,-0.5789,-0.7363
TSLA,-10,-2,0.001,0.0616,0.34850000000000003,0.0452,3.4126,10.0,7.0,0.7,5.0,0.1,-0.5783,-0.7363
TSLA,-10,-1,0.001,0.053,0.29469999999999996,0.0414,3.4126,10.0,7.0,0.7,5.0,0.07,-0.5954999999999999,-0.7363
TSLA,-10,0,0.001,0.09050000000000001,0.5424,0.0562,3.4126,10.0,6.0,0.6,5.0,0.15,-0.5838,-0.7363
TSLA,-10,1,0.001,0.1274,0.8220000000000001,0.07440000000000001,3.4126,10.0,7.0,0.7,5.0,0.23,-0.5511,-0.7363
TSLA,-10,2,0.001,0.1195,0.7585999999999999,0.0711,3.4126,10.0,7.0,0.7,5.0,0.21,-0.5511,-0.7363
TSLA,-10,3,0.001,0.1505,1.0167,0.09,3.4126,10.0,8.0,0.8,5.0,0.26,-0.5511,-0.7363
TSLA,-10,4,0.001,0.1673,1.1679000000000002,0.0977,3.4126,10.0,8.0,0.8,5.0,0.3,-0.5511,-0.7363
TSLA,-10,5,0.001,0.1379,0.9083,0.0931,3.4126,9.0,7.0,0.7778,5.0,0.23,-0.5511,-0.7363
TSLA,-10,6,0.001,0.1948,1.4357,0.1225,3.4126,9.0,7.0,0.7778,5.0,0.34,-0.5578,-0.7363
TSLA,-10,7,0.001,0.10439999999999999,0.6431999999999999,0.0895,3.4126,7.0,5.0,0.7143,5.0,0.16,-0.5511,-0.7363
TSLA,-10,8,0.001,0.1155,0.7279000000000001,0.09820000000000001,3.4126,7.0,5.0,0.7143,5.0,0.18,-0.5511,-0.7363
TSLA,-10,9,0.001,0.051500000000000004,0.2859,0.0558,3.4126,6.0,4.0,0.6667000000000001,5.0,0.06,-0.596,-0.7363
TSLA,-10,10,0.001,0.1118,0.6994,0.10830000000000001,3.4126,6.0,5.0,0.8332999999999999,5.0,0.17,-0.5511,-0.7363
TSLA,-9,-10,0.001,0.2864,2.5252,0.0355,3.4126,14.0,4.0,0.2857,5.0,0.4,-0.6723,-0.7363
TSLA,-9,-9,0.001,0.4291,4.9676,0.0673,3.4126,15.0,4.0,0.2667,5.0,0.62,-0.5561,-0.7363
TSLA,-9,-8,0.001,-0.0922,-0.3835,-0.0315,3.4126,12.0,5.0,0.4167,5.0,-0.27,-0.6126,-0.7363
TSLA,-9,-7,0.001,-0.1142,-0.4547,-0.0449,3.4126,10.0,4.0,0.4,5.0,-0.31,-0.6386999999999999,-0.7363
TSLA,-9,-6,0.001,-0.07629999999999999,-0.32770000000000005,-0.022400000000000003,3.4126,10.0,5.0,0.5,5.0,-0.22,-0.5961,-0.7363
