symbol,buy_param,sell_param,fee_,CAGR,Accumulated return,Average return,Benchmark return,Number of trades,Number of win,Hit ratio,Investment period,Sharpe ratio,MDD,Benchmark MDD
^GSPC,-10,-10,0.001,0.09630000000000001,0.5838,0.023399999999999997,1.0014,16.0,7.0,0.4375,5.0,0.52,-0.1322,-0.25429999999999997
^GSPC,-10,-9,0.001,0.0404,0.2189,0.0131,1.0014,16.0,12.0,0.75,5.0,0.13,-0.1718,-0.25429999999999997
^GSPC,-10,-8,0.001,0.0363,0.19519999999999998,0.0126,1.0014,15.0,11.0,0.7333,5.0,0.11,-0.1718,-0.25429999999999997
^GSPC,-10,-7,0.001,0.0346,0.18530000000000002,0.0129,1.0014,14.0,10.0,0.7143,5.0,0.1,-0.1718,-0.25429999999999997
^GSPC,-10,-6,0.001,0.0346,0.18530000000000002,0.0129,1.0014,14.0,10.0,0.7143,5.0,0.1,-0.1718,-0.25429999999999997
^GSPC,-10,-5,0.001,0.0325,0.1736,0.012199999999999999,1.0014,14.0,10.0,0.7143,5.0,0.08,-0.1718,-0.25429999999999997
^GSPC,-10,-4,0.001,0.0391,0.2116,0.014499999999999999,1.0014,14.0,10.0,0.7143,5.0,0.13,-0.1718,-0.25429999999999997
^GSPC,-10,-3,0.001,0.0471,0.259,0.0172,1.0014,14.0,10.0,0.7143,5.0,0.18,-0.1718,-0.25429999999999997
^GSPC,-10,-2,0.001,0.0484,0.2668,0.0176,1.0014,14.0,10.0,0.7143,5.0,0.19,-0.1718,-0.25429999999999997
^GSPC,-10,-1,0.001,0.0484,0.2668,0.0176,1.0014,14.0,10.0,0.7143,5.0,0.19,-0.1718,-0.25429999999999997
^GSPC,-10,0,0.001,0.0487,0.2687,0.0177,1.0014,14.0,10.0,0.7143,5.0,0.19,-0.1718,-0.25429999999999997
^GSPC,-10,1,0.001,0.050300000000000004,0.278,0.0183,1.0014,14.0,10.0,0.7143,5.0,0.2,-0.1718,-0.25429999999999997
^GSPC,-10,2,0.001,0.053,0.29469999999999996,0.019299999999999998,1.0014,14.0,10.0,0.7143,5.0,0.21,-0.1796,-0.25429999999999997
^GSPC,-10,3,0.001,0.0504,0.2788,0.0184,1.0014,14.0,10.0,0.7143,5.0,0.2,-0.18960000000000002,-0.25429999999999997
