symbol,buy_param,sell_param,fee_,CAGR,Accumulated return,Average return,Benchmark return,Number of trades,Number of win,Hit ratio,Investment period,Sharpe ratio,MDD,Benchmark MDD
^KS11,-10,-10,0.001,0.0356,0.1913,-0.0023,0.4654,24.0,8.0,0.3333,5.0,0.1,-0.34240000000000004,-0.3479
^KS11,-10,-9,0.001,0.0277,0.1466,0.0074,0.4654,20.0,13.0,0.65,5.0,0.05,-0.19149999999999998,-0.3479
^KS11,-10,-8,0.001,0.0203,0.1057,0.0059,0.4654,19.0,12.0,0.6315999999999999,5.0,0.0,-0.1953,-0.3479
^KS11,-10,-7,0.001,0.0125,0.0642,0.0044,0.4654,17.0,10.0,0.5882000000000001,5.0,-0.05,-0.21960000000000002,-0.3479
^KS11,-10,-6,0.001,0.0173,0.0895,0.005699999999999999,0.4654,17.0,10.0,0.5882000000000001,5.0,-0.02,-0.22039999999999998,-0.3479
^KS11,-10,-5,0.001,0.0173,0.0897,0.005699999999999999,0.4654,17.0,10.0,0.5882000000000001,5.0,-0.02,-0.22039999999999998,-0.3479
^KS11,-10,-4,0.001,0.0129,0.0663,0.0049,0.4654,16.0,10.0,0.625,5.0,-0.05,-0.2118,-0.3479
^KS11,-10,-3,0.001,0.018000000000000002,0.0935,0.0069,0.4654,15.0,9.0,0.6,5.0,-0.01,-0.20850000000000002,-0.3479
^KS11,-10,-2,0.001,0.0192,0.0999,0.0073,0.4654,15.0,9.0,0.6,5.0,-0.01,-0.20850000000000002,-0.3479
^KS11,-10,-1,0.001,0.0063,0.0318,0.0034000000000000002,0.4654,14.0,8.0,0.5714,5.0,-0.09,-0.257,-0.3479
^KS11,-10,0,0.001,0.0054,0.0273,0.0031,0.4654,14.0,8.0,0.5714,5.0,-0.09,-0.2602,-0.3479
^KS11,-10,1,0.001,-0.0005,-0.0023,0.0011,0.4654,13.0,7.0,0.5385,5.0,-0.13,-0.25989999999999996,-0.3479
^KS11,-10,2,0.001,0.0011,0.005600000000000001,0.0017000000000000001,0.4654,13.0,7.0,0.5385,5.0,-0.12,-0.257,-0.3479
^KS11,-10,3,0.001,0.0024,0.012,0.0022,0.4654,13.0,7.0,0.5385,5.0,-0.11,-0.2591,-0.3479
^KS11,-10,4,0.001,0.0029,0.0144,0.0025,0.4654,13.0,7.0,0.5385,5.0,-0.11,-0.2625,-0.3479
^KS11,-10,5,0.001,-0.0001,-0.0005,0.0014000000000000002,0.4654,13.0,7.0,0.5385,5.0,-0.13,-0.26649999999999996,-0.3479
^KS11,-10,6,0.001,0.001,0.0052,0.0018,0.4654,13.0,7.0,0.5385,5.0,-0.12,-0.2589,-0.3479
^KS11,-10,7,0.001,0.0002,0.0012,0.0015,0.4654,13.0,7.0,0.5385,5.0,-0.12,-0.2523,-0.3479
^KS11,-10,8,0.001,-0.0052,-0.026000000000000002,-0.0003,0.4654,12.0,7.0,0.5832999999999999,5.0,-0.16,-0.2736,-0.3479
^KS11,-10,9,0.001,0.0021,0.0105,0.0028000000000000004,0.4654,12.0,7.0,0.5832999999999999,5.0,-0.11,-0.2736,-0.3479
^KS11,-10,10,0.001,-0.0028000000000000004,-0.0141,0.0023,0.4654,11.0,7.0,0.6364,5.0,-0.14,-0.3012,-0.3479
^KS11,-9,-10,0.001,0.042,0.2289,-0.0015,0.4654,20.0,6.0,0.3,5.0,0.14,-0.3054,-0.3479
^KS11,-9,-9,0.001,0.0371,0.2,-0.0033,0.4654,22.0,6.0,0.2727,5.0,0.11,-0.3064,-0.3479
^KS11,-9,-8,0.001,0.0231,0.1211,0.0063,0.4654,20.0,13.0,0.65,5.0,0.02,-0.19510000000000002,-0.3479
^KS11,-9,-7,0.001,0.016,0.0827,0.0051,0.4654,18.0,11.0,0.6111,5.0,-0.03,-0.2194,-0.3479
^KS11,-9,-6,0.001,0.0208,0.1084,0.0064,0.4654,18.0,11.0,0.6111,5.0,0.01,-0.2202,-0.3479
^KS11,-9,-5,0.001,0.0226,0.1184,0.0069,0.4654,18.0,11.0,0.6111,5.0,0.02,-0.2202,-0.3479
^KS11,-9,-4,0.001,0.0182,0.0944,0.0062,0.4654,17.0,11.0,0.6470999999999999,5.0,-0.01,-0.2116,-0.3479
^KS11,-9,-3,0.001,0.0225,0.11789999999999999,0.0079,0.4654,16.0,10.0,0.625,5.0,0.02,-0.20829999999999999,-0.3479
