symbol,w_param,buy_param,sell_param,fee_,CAGR,Accumulated return,Average return,Benchmark return,Number of trades,Number of win,Hit ratio,Investment period,Sharpe ratio,MDD,Benchmark MDD
AAPL,7,15,55,0.001,0.059500000000000004,0.3335,0.059800000000000006,1.2042,5.0,5.0,1.0,5.0,0.34,-0.0895,-0.3336
AAPL,7,15,56,0.001,0.059500000000000004,0.3335,0.059800000000000006,1.2042,5.0,5.0,1.0,5.0,0.34,-0.0895,-0.3336
AAPL,7,15,57,0.001,0.0634,0.35810000000000003,0.064,1.2042,5.0,5.0,1.0,5.0,0.37,-0.0895,-0.3336
AAPL,7,15,58,0.001,0.019799999999999998,0.1025,0.024900000000000002,1.2042,4.0,3.0,0.75,5.0,-0.0,-0.2299,-0.3336
AAPL,7,15,59,0.001,0.0265,0.1391,0.0334,1.2042,4.0,3.0,0.75,5.0,0.05,-0.2299,-0.3336
AAPL,7,15,60,0.001,0.0265,0.1391,0.0334,1.2042,4.0,3.0,0.75,5.0,0.05,-0.2299,-0.3336
AAPL,7,15,61,0.001,0.0274,0.1441,0.0345,1.2042,4.0,3.0,0.75,5.0,0.05,-0.2299,-0.3336
AAPL,7,15,62,0.001,0.028300000000000002,0.14880000000000002,0.0355,1.2042,4.0,4.0,1.0,5.0,0.06,-0.2299,-0.3336
AAPL,7,15,63,0.001,0.029300000000000003,0.15460000000000002,0.0368,1.2042,4.0,4.0,1.0,5.0,0.07,-0.2299,-0.3336
AAPL,7,15,64,0.001,0.030600000000000002,0.1617,0.0383,1.2042,4.0,4.0,1.0,5.0,0.08,-0.2299,-0.3336
AAPL,7,15,65,0.001,0.030600000000000002,0.1617,0.0383,1.2042,4.0,4.0,1.0,5.0,0.08,-0.2299,-0.3336
AAPL,7,15,66,0.001,0.031400000000000004,0.16620000000000001,0.0393,1.2042,4.0,4.0,1.0,5.0,0.08,-0.2299,-0.3336
AAPL,7,15,67,0.001,0.034300000000000004,0.1826,0.043,1.2042,4.0,4.0,1.0,5.0,0.1,-0.2299,-0.3336
AAPL,7,15,68,0.001,0.0345,0.18420000000000003,0.0433,1.2042,4.0,4.0,1.0,5.0,0.1,-0.2299,-0.3336
AAPL,7,15,69,0.001,0.0349,0.1864,0.0659,1.2042,4.0,3.0,0.75,5.0,0.09,-0.2299,-0.3336
AAPL,7,15,70,0.001,0.0349,0.1864,0.0659,1.2042,4.0,3.0,0.75,5.0,0.09,-0.2299,-0.3336
AAPL,7,15,71,0.001,0.0349,0.1864,0.0659,1.2042,4.0,3.0,0.75,5.0,0.09,-0.2299,-0.3336
AAPL,7,15,72,0.001,0.0363,0.1943,0.0683,1.2042,4.0,3.0,0.75,5.0,0.1,-0.2299,-0.3336
AAPL,7,15,73,0.001,0.0363,0.1943,0.0683,1.2042,4.0,3.0,0.75,5.0,0.1,-0.2299,-0.3336
AAPL,7,15,74,0.001,0.0403,0.2173,0.075,1.2042,4.0,3.0,0.75,5.0,0.12,-0.2299,-0.3336
AAPL,7,15,75,0.001,0.0124,0.0634,0.0424,1.2042,3.0,2.0,0.6667000000000001,5.0,-0.05,-0.2299,-0.3336
AAPL,7,15,76,0.001,0.0124,0.0634,0.0424,1.2042,3.0,2.0,0.6667000000000001,5.0,-0.05,-0.2299,-0.3336
AAPL,7,15,77,0.001,0.0124,0.0634,0.0424,1.2042,3.0,2.0,0.6667000000000001,5.0,-0.05,-0.2299,-0.3336
AAPL,7,15,78,0.001,0.0196,0.1017,0.0605,1.2042,3.0,2.0,0.6667000000000001,5.0,-0.0,-0.2299,-0.3336
AAPL,7,15,79,0.001,0.023799999999999998,0.124,0.07139999999999999,1.2042,3.0,2.0,0.6667000000000001,5.0,0.02,-0.2299,-0.3336
AAPL,7,15,80,0.001,0.023799999999999998,0.124,0.07139999999999999,1.2042,3.0,2.0,0.6667000000000001,5.0,0.02,-0.2299,-0.3336
AAPL,7,15,81,0.001,0.023799999999999998,0.124,0.07139999999999999,1.2042,3.0,2.0,0.6667000000000001,5.0,0.02,-0.2299,-0.3336
AAPL,7,15,82,0.001,0.0252,0.1318,0.0751,1.2042,3.0,2.0,0.6667000000000001,5.0,0.03,-0.2299,-0.3336
AAPL,7,15,83,0.001,0.0252,0.1318,0.0751,1.2042,3.0,2.0,0.6667000000000001,5.0,0.03,-0.2299,-0.3336
AAPL,7,15,84,0.001,0.0375,0.20120000000000002,0.1084,1.2042,3.0,2.0,0.6667000000000001,5.0,0.1,-0.2299,-0.3336
AAPL,7,15,85,0.001,0.0375,0.20120000000000002,0.1084,1.2042,3.0,2.0,0.6667000000000001,5.0,0.1,-0.2299,-0.3336
AAPL,7,16,55,0.001,0.0738,0.4254,0.0525,1.2042,7.0,7.0,1.0,5.0,0.44,-0.0895,-0.3336
AAPL,7,16,56,0.001,0.0738,0.4254,0.0525,1.2042,7.0,7.0,1.0,5.0,0.44,-0.0895,-0.3336
AAPL,7,16,57,0.001,0.07769999999999999,0.4517,0.0555,1.2042,7.0,7.0,1.0,5.0,0.47,-0.0895,-0.3336
AAPL,7,16,58,0.001,0.0335,0.17850000000000002,0.027999999999999997,1.2042,6.0,5.0,0.8332999999999999,5.0,0.09,-0.2299,-0.3336
AAPL,7,16,59,0.001,0.0438,0.2377,0.0364,1.2042,6.0,5.0,0.8332999999999999,5.0,0.16,-0.2299,-0.3336
AAPL,7,16,60,0.001,0.0438,0.2377,0.0364,1.2042,6.0,5.0,0.8332999999999999,5.0,0.16,-0.2299,-0.3336
AAPL,7,16,61,0.001,0.0447,0.2432,0.037200000000000004,1.2042,6.0,5.0,0.8332999999999999,5.0,0.17,-0.2299,-0.3336
AAPL,7,16,62,0.001,0.051,0.2808,0.0425,1.2042,6.0,6.0,1.0,5.0,0.21,-0.2299,-0.3336
AAPL,7,16,63,0.001,0.0521,0.2874,0.0434,1.2042,6.0,6.0,1.0,5.0,0.22,-0.2299,-0.3336
AAPL,7,16,64,0.001,0.0533,0.2952,0.0444,1.2042,6.0,6.0,1.0,5.0,0.22,-0.2299,-0.3336
AAPL,7,16,65,0.001,0.0533,0.2952,0.0444,1.2042,6.0,6.0,1.0,5.0,0.22,-0.2299,-0.3336
AAPL,7,16,66,0.001,0.0582,0.32520000000000004,0.0483,1.2042,6.0,6.0,1.0,5.0,0.26,-0.2299,-0.3336
AAPL,7,16,67,0.001,0.061200000000000004,0.34380000000000005,0.0508,1.2042,6.0,6.0,1.0,5.0,0.26,-0.2299,-0.3336
AAPL,7,16,68,0.001,0.061500000000000006,0.3457,0.051,1.2042,6.0,6.0,1.0,5.0,0.26,-0.2299,-0.3336
AAPL,7,16,69,0.001,0.061799999999999994,0.3481,0.0661,1.2042,6.0,5.0,0.8332999999999999,5.0,0.25,-0.2299,-0.3336
AAPL,7,16,70,0.001,0.06309999999999999,0.3563,0.0674,1.2042,6.0,5.0,0.8332999999999999,5.0,0.25,-0.2299,-0.3336
