symbol,w_param,buy_param,sell_param,fee_,CAGR,Accumulated return,Average return,Benchmark return,Number of trades,Number of win,Hit ratio,Investment period,Sharpe ratio,MDD,Benchmark MDD
AMZN,7,15,55,0.001,0.06509999999999999,0.3691,0.08199999999999999,0.3787,4.0,4.0,1.0,5.0,0.33,-0.0977,-0.5615
AMZN,7,15,56,0.001,0.06509999999999999,0.3691,0.08199999999999999,0.3787,4.0,4.0,1.0,5.0,0.33,-0.0977,-0.5615
AMZN,7,15,57,0.001,0.0371,0.19870000000000002,0.0482,0.3787,4.0,3.0,0.75,5.0,0.11,-0.1882,-0.5615
AMZN,7,15,58,0.001,0.0371,0.19870000000000002,0.0482,0.3787,4.0,3.0,0.75,5.0,0.11,-0.1882,-0.5615
AMZN,7,15,59,0.001,0.043,0.23309999999999997,0.055,0.3787,4.0,3.0,0.75,5.0,0.15,-0.1882,-0.5615
AMZN,7,15,60,0.001,0.052000000000000005,0.2873,0.067,0.3787,4.0,3.0,0.75,5.0,0.21,-0.1882,-0.5615
AMZN,7,15,61,0.001,0.0524,0.2897,0.0675,0.3787,4.0,3.0,0.75,5.0,0.21,-0.1882,-0.5615
AMZN,7,15,62,0.001,0.057,0.3181,0.0736,0.3787,4.0,3.0,0.75,5.0,0.24,-0.1882,-0.5615
AMZN,7,15,63,0.001,0.057,0.3181,0.0736,0.3787,4.0,3.0,0.75,5.0,0.24,-0.1882,-0.5615
AMZN,7,15,64,0.001,0.0616,0.3464,0.0793,0.3787,4.0,3.0,0.75,5.0,0.27,-0.1882,-0.5615
AMZN,7,15,65,0.001,0.0616,0.3464,0.0793,0.3787,4.0,3.0,0.75,5.0,0.27,-0.1882,-0.5615
AMZN,7,15,66,0.001,0.055999999999999994,0.3116,0.07200000000000001,0.3787,4.0,3.0,0.75,5.0,0.21,-0.1882,-0.5615
AMZN,7,15,67,0.001,0.068,0.38780000000000003,0.0861,0.3787,4.0,4.0,1.0,5.0,0.27,-0.1882,-0.5615
AMZN,7,15,68,0.001,0.0707,0.4048,0.08960000000000001,0.3787,4.0,4.0,1.0,5.0,0.29,-0.1882,-0.5615
AMZN,7,15,69,0.001,0.0761,0.44060000000000005,0.0966,0.3787,4.0,4.0,1.0,5.0,0.32,-0.1882,-0.5615
AMZN,7,15,70,0.001,0.0828,0.48590000000000005,0.1057,0.3787,4.0,4.0,1.0,5.0,0.35,-0.1882,-0.5615
AMZN,7,15,71,0.001,0.0828,0.48590000000000005,0.1057,0.3787,4.0,4.0,1.0,5.0,0.35,-0.1882,-0.5615
AMZN,7,15,72,0.001,0.0828,0.48590000000000005,0.1057,0.3787,4.0,4.0,1.0,5.0,0.35,-0.1882,-0.5615
AMZN,7,15,73,0.001,0.0877,0.5195000000000001,0.1121,0.3787,4.0,4.0,1.0,5.0,0.38,-0.1882,-0.5615
AMZN,7,15,74,0.001,0.0877,0.5195000000000001,0.1121,0.3787,4.0,4.0,1.0,5.0,0.38,-0.1882,-0.5615
AMZN,7,15,75,0.001,0.086,0.5077,0.1094,0.3787,4.0,4.0,1.0,5.0,0.33,-0.1882,-0.5615
AMZN,7,15,76,0.001,0.086,0.5077,0.1094,0.3787,4.0,4.0,1.0,5.0,0.33,-0.1882,-0.5615
AMZN,7,15,77,0.001,0.0946,0.5686,0.121,0.3787,4.0,4.0,1.0,5.0,0.37,-0.1882,-0.5615
AMZN,7,15,78,0.001,0.1016,0.6186,0.1292,0.3787,4.0,4.0,1.0,5.0,0.4,-0.1882,-0.5615
AMZN,7,15,79,0.001,0.1016,0.6186,0.1292,0.3787,4.0,4.0,1.0,5.0,0.4,-0.1882,-0.5615
AMZN,7,15,80,0.001,0.03,0.15839999999999999,0.0509,0.3787,3.0,2.0,0.6667000000000001,5.0,0.04,-0.3958,-0.5615
AMZN,7,15,81,0.001,0.0327,0.17379999999999998,0.0558,0.3787,3.0,2.0,0.6667000000000001,5.0,0.05,-0.3958,-0.5615
AMZN,7,15,82,0.001,-0.06709999999999999,-0.2923,-0.2923,0.3787,1.0,0.0,0.0,5.0,-0.3,-0.5573,-0.5615
AMZN,7,15,83,0.001,-0.06709999999999999,-0.2923,-0.2923,0.3787,1.0,0.0,0.0,5.0,-0.3,-0.5573,-0.5615
AMZN,7,15,84,0.001,-0.06709999999999999,-0.2923,-0.2923,0.3787,1.0,0.0,0.0,5.0,-0.3,-0.5573,-0.5615
AMZN,7,15,85,0.001,-0.06709999999999999,-0.2923,-0.2923,0.3787,1.0,0.0,0.0,5.0,-0.3,-0.5573,-0.5615
