symbol,w_param,buy_param,sell_param,fee_,CAGR,Accumulated return,Average return,Benchmark return,Number of trades,Number of win,Hit ratio,Investment period,Sharpe ratio,MDD,Benchmark MDD
GOOG,7,15,55,0.001,0.0167,0.086,0.0425,1.3621,2.0,2.0,1.0,5.0,-0.07,-0.07339999999999999,-0.446
GOOG,7,15,56,0.001,0.0167,0.086,0.0425,1.3621,2.0,2.0,1.0,5.0,-0.07,-0.07339999999999999,-0.446
GOOG,7,15,57,0.001,0.0167,0.086,0.0425,1.3621,2.0,2.0,1.0,5.0,-0.07,-0.07339999999999999,-0.446
GOOG,7,15,58,0.001,0.02,0.10339999999999999,0.051,1.3621,2.0,2.0,1.0,5.0,0.0,-0.07339999999999999,-0.446
GOOG,7,15,59,0.001,0.02,0.10339999999999999,0.051,1.3621,2.0,2.0,1.0,5.0,0.0,-0.07339999999999999,-0.446
GOOG,7,15,60,0.001,0.02,0.10339999999999999,0.051,1.3621,2.0,2.0,1.0,5.0,0.0,-0.07339999999999999,-0.446
GOOG,7,15,61,0.001,0.02,0.10339999999999999,0.051,1.3621,2.0,2.0,1.0,5.0,0.0,-0.07339999999999999,-0.446
GOOG,7,15,62,0.001,0.0091,0.0463,0.0248,1.3621,2.0,1.0,0.5,5.0,-0.11,-0.16510000000000002,-0.446
GOOG,7,15,63,0.001,0.0091,0.0463,0.0248,1.3621,2.0,1.0,0.5,5.0,-0.11,-0.16510000000000002,-0.446
GOOG,7,15,64,0.001,0.0236,0.1234,0.06480000000000001,1.3621,2.0,1.0,0.5,5.0,0.04,-0.16510000000000002,-0.446
GOOG,7,15,65,0.001,0.026099999999999998,0.1369,0.0706,1.3621,2.0,1.0,0.5,5.0,0.06,-0.16510000000000002,-0.446
GOOG,7,15,66,0.001,0.026099999999999998,0.1369,0.0706,1.3621,2.0,1.0,0.5,5.0,0.06,-0.16510000000000002,-0.446
GOOG,7,15,67,0.001,0.0264,0.13849999999999998,0.0713,1.3621,2.0,1.0,0.5,5.0,0.06,-0.16510000000000002,-0.446
GOOG,7,15,68,0.001,0.0336,0.1791,0.08869999999999999,1.3621,2.0,2.0,1.0,5.0,0.12,-0.16510000000000002,-0.446
GOOG,7,15,69,0.001,0.0336,0.1791,0.08869999999999999,1.3621,2.0,2.0,1.0,5.0,0.12,-0.16510000000000002,-0.446
GOOG,7,15,70,0.001,0.0407,0.2194,0.1059,1.3621,2.0,2.0,1.0,5.0,0.17,-0.16510000000000002,-0.446
GOOG,7,15,71,0.001,0.0407,0.2194,0.1059,1.3621,2.0,2.0,1.0,5.0,0.17,-0.16510000000000002,-0.446
GOOG,7,15,72,0.001,0.0407,0.2194,0.1059,1.3621,2.0,2.0,1.0,5.0,0.17,-0.16510000000000002,-0.446
GOOG,7,15,73,0.001,0.0434,0.2357,0.11289999999999999,1.3621,2.0,2.0,1.0,5.0,0.19,-0.16510000000000002,-0.446
GOOG,7,15,74,0.001,0.0434,0.2357,0.11289999999999999,1.3621,2.0,2.0,1.0,5.0,0.19,-0.16510000000000002,-0.446
GOOG,7,15,75,0.001,0.0434,0.2357,0.11289999999999999,1.3621,2.0,2.0,1.0,5.0,0.19,-0.16510000000000002,-0.446
GOOG,7,15,76,0.001,0.0434,0.2357,0.11289999999999999,1.3621,2.0,2.0,1.0,5.0,0.19,-0.16510000000000002,-0.446
GOOG,7,15,77,0.001,0.0406,0.2189,0.16690000000000002,1.3621,2.0,1.0,0.5,5.0,0.16,-0.16510000000000002,-0.446
GOOG,7,15,78,0.001,0.0406,0.2189,0.16690000000000002,1.3621,2.0,1.0,0.5,5.0,0.16,-0.16510000000000002,-0.446
GOOG,7,15,79,0.001,0.0406,0.2189,0.16690000000000002,1.3621,2.0,1.0,0.5,5.0,0.16,-0.16510000000000002,-0.446
GOOG,7,15,80,0.001,-0.0397,-0.1825,-0.2175,1.3621,2.0,0.0,0.0,5.0,-0.25,-0.436,-0.446
GOOG,7,15,81,0.001,-0.0397,-0.1825,-0.2175,1.3621,2.0,0.0,0.0,5.0,-0.25,-0.436,-0.446
GOOG,7,15,82,0.001,-0.0397,-0.1825,-0.2175,1.3621,2.0,0.0,0.0,5.0,-0.25,-0.436,-0.446
GOOG,7,15,83,0.001,-0.0359,-0.1666,-0.2022,1.3621,2.0,0.0,0.0,5.0,-0.23,-0.436,-0.446
GOOG,7,15,84,0.001,-0.0359,-0.1666,-0.2022,1.3621,2.0,0.0,0.0,5.0,-0.23,-0.436,-0.446
GOOG,7,15,85,0.001,-0.0059,-0.028999999999999998,-0.0705,1.3621,2.0,0.0,0.0,5.0,-0.1,-0.436,-0.446
GOOG,7,16,55,0.001,0.0167,0.086,0.0425,1.3621,2.0,2.0,1.0,5.0,-0.07,-0.07339999999999999,-0.446
GOOG,7,16,56,0.001,0.0167,0.086,0.0425,1.3621,2.0,2.0,1.0,5.0,-0.07,-0.07339999999999999,-0.446
GOOG,7,16,57,0.001,0.0167,0.086,0.0425,1.3621,2.0,2.0,1.0,5.0,-0.07,-0.07339999999999999,-0.446
GOOG,7,16,58,0.001,0.02,0.10339999999999999,0.051,1.3621,2.0,2.0,1.0,5.0,0.0,-0.07339999999999999,-0.446
GOOG,7,16,59,0.001,0.02,0.10339999999999999,0.051,1.3621,2.0,2.0,1.0,5.0,0.0,-0.07339999999999999,-0.446
GOOG,7,16,60,0.001,0.02,0.10339999999999999,0.051,1.3621,2.0,2.0,1.0,5.0,0.0,-0.07339999999999999,-0.446
GOOG,7,16,61,0.001,0.02,0.10339999999999999,0.051,1.3621,2.0,2.0,1.0,5.0,0.0,-0.07339999999999999,-0.446
