symbol,w_param,buy_param,sell_param,fee_,CAGR,Accumulated return,Average return,Benchmark return,Number of trades,Number of win,Hit ratio,Investment period,Sharpe ratio,MDD,Benchmark MDD
META,7,15,55,0.001,-0.0021,-0.0104,-0.0104,2.0353,1.0,0.0,0.0,5.0,-0.5,-0.0843,-0.7674
META,7,15,56,0.001,-0.0021,-0.0104,-0.0104,2.0353,1.0,0.0,0.0,5.0,-0.5,-0.0843,-0.7674
META,7,15,57,0.001,-0.0021,-0.0104,-0.0104,2.0353,1.0,0.0,0.0,5.0,-0.5,-0.0843,-0.7674
META,7,15,58,0.001,-0.0021,-0.0104,-0.0104,2.0353,1.0,0.0,0.0,5.0,-0.5,-0.0843,-0.7674
META,7,15,59,0.001,-0.0021,-0.0104,-0.0104,2.0353,1.0,0.0,0.0,5.0,-0.5,-0.0843,-0.7674
META,7,15,60,0.001,-0.0021,-0.0104,-0.0104,2.0353,1.0,0.0,0.0,5.0,-0.5,-0.0843,-0.7674
META,7,15,61,0.001,-0.0021,-0.0104,-0.0104,2.0353,1.0,0.0,0.0,5.0,-0.5,-0.0843,-0.7674
META,7,15,62,0.001,-0.0016,-0.008100000000000001,-0.008100000000000001,2.0353,1.0,0.0,0.0,5.0,-0.49,-0.0843,-0.7674
META,7,15,63,0.001,-0.001,-0.0049,-0.0049,2.0353,1.0,0.0,0.0,5.0,-0.47,-0.0843,-0.7674
META,7,15,64,0.001,-0.0014000000000000002,-0.0070999999999999995,-0.0070999999999999995,2.0353,1.0,0.0,0.0,5.0,-0.35,-0.11699999999999999,-0.7674
META,7,15,65,0.001,-0.0014000000000000002,-0.0070999999999999995,-0.0070999999999999995,2.0353,1.0,0.0,0.0,5.0,-0.35,-0.11699999999999999,-0.7674
META,7,15,66,0.001,-0.0014000000000000002,-0.0070999999999999995,-0.0070999999999999995,2.0353,1.0,0.0,0.0,5.0,-0.35,-0.11699999999999999,-0.7674
META,7,15,67,0.001,-0.0014000000000000002,-0.0070999999999999995,-0.0070999999999999995,2.0353,1.0,0.0,0.0,5.0,-0.35,-0.11699999999999999,-0.7674
META,7,15,68,0.001,0.0023,0.0116,0.0116,2.0353,1.0,1.0,1.0,5.0,-0.26,-0.11699999999999999,-0.7674
META,7,15,69,0.001,-0.0011,-0.0055000000000000005,-0.0055000000000000005,2.0353,1.0,0.0,0.0,5.0,-0.25,-0.1322,-0.7674
