symbol,w_param,buy_param,sell_param,fee_,CAGR,Accumulated return,Average return,Benchmark return,Number of trades,Number of win,Hit ratio,Investment period,Sharpe ratio,MDD,Benchmark MDD
MSFT,7,15,55,0.001,0.0069,0.0347,0.0178,1.4224,2.0,1.0,0.5,5.0,-0.25,-0.1266,-0.3715
MSFT,7,15,56,0.001,0.0069,0.0347,0.0178,1.4224,2.0,1.0,0.5,5.0,-0.25,-0.1266,-0.3715
MSFT,7,15,57,0.001,0.0092,0.046900000000000004,0.0241,1.4224,2.0,1.0,0.5,5.0,-0.21,-0.1266,-0.3715
MSFT,7,15,58,0.001,0.0092,0.046900000000000004,0.0241,1.4224,2.0,1.0,0.5,5.0,-0.21,-0.1266,-0.3715
MSFT,7,15,59,0.001,0.0092,0.046900000000000004,0.0241,1.4224,2.0,1.0,0.5,5.0,-0.21,-0.1266,-0.3715
MSFT,7,15,60,0.001,0.0092,0.046900000000000004,0.0241,1.4224,2.0,1.0,0.5,5.0,-0.21,-0.1266,-0.3715
MSFT,7,15,61,0.001,0.0092,0.046900000000000004,0.0241,1.4224,2.0,1.0,0.5,5.0,-0.21,-0.1266,-0.3715
MSFT,7,15,62,0.001,0.0079,0.0401,0.0209,1.4224,2.0,1.0,0.5,5.0,-0.17,-0.1547,-0.3715
MSFT,7,15,63,0.001,0.0079,0.0401,0.0209,1.4224,2.0,1.0,0.5,5.0,-0.17,-0.1547,-0.3715
MSFT,7,15,64,0.001,0.0097,0.049400000000000006,0.0256,1.4224,2.0,1.0,0.5,5.0,-0.14,-0.1547,-0.3715
MSFT,7,15,65,0.001,0.0097,0.049400000000000006,0.0256,1.4224,2.0,1.0,0.5,5.0,-0.14,-0.1547,-0.3715
MSFT,7,15,66,0.001,0.0097,0.049400000000000006,0.0256,1.4224,2.0,1.0,0.5,5.0,-0.14,-0.1547,-0.3715
MSFT,7,15,67,0.001,0.0089,0.045,0.023399999999999997,1.4224,2.0,1.0,0.5,5.0,-0.15,-0.1547,-0.3715
MSFT,7,15,68,0.001,0.013600000000000001,0.0693,0.0351,1.4224,2.0,1.0,0.5,5.0,-0.08,-0.1547,-0.3715
MSFT,7,15,69,0.001,0.013600000000000001,0.0693,0.0351,1.4224,2.0,1.0,0.5,5.0,-0.08,-0.1547,-0.3715
MSFT,7,15,70,0.001,0.013600000000000001,0.0693,0.0351,1.4224,2.0,1.0,0.5,5.0,-0.08,-0.1547,-0.3715
MSFT,7,15,71,0.001,0.0177,0.0915,0.0454,1.4224,2.0,2.0,1.0,5.0,-0.02,-0.19649999999999998,-0.3715
MSFT,7,15,72,0.001,0.0269,0.14150000000000001,0.06860000000000001,1.4224,2.0,2.0,1.0,5.0,0.05,-0.19649999999999998,-0.3715
MSFT,7,15,73,0.001,0.0269,0.14150000000000001,0.06860000000000001,1.4224,2.0,2.0,1.0,5.0,0.05,-0.19649999999999998,-0.3715
MSFT,7,15,74,0.001,0.0269,0.14150000000000001,0.06860000000000001,1.4224,2.0,2.0,1.0,5.0,0.05,-0.19649999999999998,-0.3715
MSFT,7,15,75,0.001,0.0291,0.1536,0.07440000000000001,1.4224,2.0,2.0,1.0,5.0,0.07,-0.19649999999999998,-0.3715
MSFT,7,15,76,0.001,0.0291,0.1536,0.07440000000000001,1.4224,2.0,2.0,1.0,5.0,0.07,-0.19649999999999998,-0.3715
MSFT,7,15,77,0.001,0.0291,0.1536,0.07440000000000001,1.4224,2.0,2.0,1.0,5.0,0.07,-0.19649999999999998,-0.3715
MSFT,7,15,78,0.001,0.0291,0.1536,0.07440000000000001,1.4224,2.0,2.0,1.0,5.0,0.07,-0.19649999999999998,-0.3715
MSFT,7,15,79,0.001,0.033,0.1757,0.085,1.4224,2.0,2.0,1.0,5.0,0.09,-0.19649999999999998,-0.3715
MSFT,7,15,80,0.001,0.043,0.233,0.1105,1.4224,2.0,2.0,1.0,5.0,0.15,-0.19649999999999998,-0.3715
MSFT,7,15,81,0.001,0.0466,0.25429999999999997,0.12,1.4224,2.0,2.0,1.0,5.0,0.17,-0.19649999999999998,-0.3715
MSFT,7,15,82,0.001,0.0371,0.19870000000000002,0.0949,1.4224,2.0,2.0,1.0,5.0,0.09,-0.2183,-0.3715
MSFT,7,15,83,0.001,0.0992,0.6012,0.2767,1.4224,2.0,2.0,1.0,5.0,0.36,-0.2183,-0.3715
MSFT,7,15,84,0.001,0.1204,0.7611,0.349,1.4224,2.0,2.0,1.0,5.0,0.45,-0.2183,-0.3715
MSFT,7,15,85,0.001,0.1204,0.7611,0.349,1.4224,2.0,2.0,1.0,5.0,0.45,-0.2183,-0.3715
MSFT,7,16,55,0.001,0.0046,0.0233,0.0124,1.4224,2.0,1.0,0.5,5.0,-0.3,-0.1266,-0.3715
MSFT,7,16,56,0.001,0.0046,0.0233,0.0124,1.4224,2.0,1.0,0.5,5.0,-0.3,-0.1266,-0.3715
MSFT,7,16,57,0.001,0.006999999999999999,0.0354,0.0187,1.4224,2.0,1.0,0.5,5.0,-0.25,-0.1266,-0.3715
MSFT,7,16,58,0.001,0.006999999999999999,0.0354,0.0187,1.4224,2.0,1.0,0.5,5.0,-0.25,-0.1266,-0.3715
MSFT,7,16,59,0.001,0.006999999999999999,0.0354,0.0187,1.4224,2.0,1.0,0.5,5.0,-0.25,-0.1266,-0.3715
MSFT,7,16,60,0.001,0.006999999999999999,0.0354,0.0187,1.4224,2.0,1.0,0.5,5.0,-0.25,-0.1266,-0.3715
MSFT,7,16,61,0.001,0.006999999999999999,0.0354,0.0187,1.4224,2.0,1.0,0.5,5.0,-0.25,-0.1266,-0.3715
MSFT,7,16,62,0.001,0.005699999999999999,0.0286,0.0155,1.4224,2.0,1.0,0.5,5.0,-0.2,-0.1547,-0.3715
MSFT,7,16,63,0.001,0.005699999999999999,0.0286,0.0155,1.4224,2.0,1.0,0.5,5.0,-0.2,-0.1547,-0.3715
MSFT,7,16,64,0.001,0.0075,0.0379,0.0203,1.4224,2.0,1.0,0.5,5.0,-0.17,-0.1547,-0.3715
MSFT,7,16,65,0.001,0.0075,0.0379,0.0203,1.4224,2.0,1.0,0.5,5.0,-0.17,-0.1547,-0.3715
MSFT,7,16,66,0.001,0.0075,0.0379,0.0203,1.4224,2.0,1.0,0.5,5.0,-0.17,-0.1547,-0.3715
MSFT,7,16,67,0.001,0.0067,0.0336,0.018000000000000002,1.4224,2.0,1.0,0.5,5.0,-0.17,-0.1547,-0.3715
MSFT,7,16,68,0.001,0.0113,0.0576,0.0297,1.4224,2.0,1.0,0.5,5.0,-0.11,-0.1547,-0.3715
MSFT,7,16,69,0.001,0.0113,0.0576,0.0297,1.4224,2.0,1.0,0.5,5.0,-0.11,-0.1547,-0.3715
MSFT,7,16,70,0.001,0.0113,0.0576,0.0297,1.4224,2.0,1.0,0.5,5.0,-0.11,-0.1547,-0.3715
MSFT,7,16,71,0.001,0.0155,0.0795,0.0398,1.4224,2.0,1.0,0.5,5.0,-0.04,-0.19649999999999998,-0.3715
