symbol,w_param,buy_param,sell_param,fee_,CAGR,Accumulated return,Average return,Benchmark return,Number of trades,Number of win,Hit ratio,Investment period,Sharpe ratio,MDD,Benchmark MDD
NVDA,7,15,55,0.001,0.0248,0.12990000000000002,0.12990000000000002,14.0898,1.0,1.0,1.0,5.0,0.09,-0.0365,-0.6635
NVDA,7,15,56,0.001,0.0248,0.12990000000000002,0.12990000000000002,14.0898,1.0,1.0,1.0,5.0,0.09,-0.0365,-0.6635
NVDA,7,15,57,0.001,0.0248,0.12990000000000002,0.12990000000000002,14.0898,1.0,1.0,1.0,5.0,0.09,-0.0365,-0.6635
NVDA,7,15,58,0.001,0.0248,0.12990000000000002,0.12990000000000002,14.0898,1.0,1.0,1.0,5.0,0.09,-0.0365,-0.6635
NVDA,7,15,59,0.001,0.0365,0.1954,0.1954,14.0898,1.0,1.0,1.0,5.0,0.24,-0.0516,-0.6635
NVDA,7,15,60,0.001,0.0365,0.1954,0.1954,14.0898,1.0,1.0,1.0,5.0,0.24,-0.0516,-0.6635
NVDA,7,15,61,0.001,0.0365,0.1954,0.1954,14.0898,1.0,1.0,1.0,5.0,0.24,-0.0516,-0.6635
NVDA,7,15,62,0.001,0.0365,0.1954,0.1954,14.0898,1.0,1.0,1.0,5.0,0.24,-0.0516,-0.6635
NVDA,7,15,63,0.001,0.0365,0.1954,0.1954,14.0898,1.0,1.0,1.0,5.0,0.24,-0.0516,-0.6635
NVDA,7,15,64,0.001,0.0365,0.1954,0.1954,14.0898,1.0,1.0,1.0,5.0,0.24,-0.0516,-0.6635
NVDA,7,15,65,0.001,0.0365,0.1954,0.1954,14.0898,1.0,1.0,1.0,5.0,0.24,-0.0516,-0.6635
NVDA,7,15,66,0.001,0.0365,0.1954,0.1954,14.0898,1.0,1.0,1.0,5.0,0.24,-0.0516,-0.6635
NVDA,7,15,67,0.001,0.0365,0.1954,0.1954,14.0898,1.0,1.0,1.0,5.0,0.24,-0.0516,-0.6635
NVDA,7,15,68,0.001,0.0365,0.1954,0.1954,14.0898,1.0,1.0,1.0,5.0,0.24,-0.0516,-0.6635
NVDA,7,15,69,0.001,0.0365,0.1954,0.1954,14.0898,1.0,1.0,1.0,5.0,0.24,-0.0516,-0.6635
NVDA,7,15,70,0.001,0.0345,0.18420000000000003,0.18420000000000003,14.0898,1.0,1.0,1.0,5.0,0.1,-0.2014,-0.6635
NVDA,7,15,71,0.001,0.0345,0.18420000000000003,0.18420000000000003,14.0898,1.0,1.0,1.0,5.0,0.1,-0.2014,-0.6635
NVDA,7,15,72,0.001,0.0345,0.18420000000000003,0.18420000000000003,14.0898,1.0,1.0,1.0,5.0,0.1,-0.2014,-0.6635
NVDA,7,15,73,0.001,0.036699999999999997,0.1967,0.1967,14.0898,1.0,1.0,1.0,5.0,0.11,-0.2014,-0.6635
NVDA,7,15,74,0.001,-0.044500000000000005,-0.2028,-0.2028,14.0898,1.0,0.0,0.0,5.0,-0.25,-0.4932,-0.6635
NVDA,7,15,75,0.001,-0.044500000000000005,-0.2028,-0.2028,14.0898,1.0,0.0,0.0,5.0,-0.25,-0.4932,-0.6635
NVDA,7,15,76,0.001,-0.044500000000000005,-0.2028,-0.2028,14.0898,1.0,0.0,0.0,5.0,-0.25,-0.4932,-0.6635
NVDA,7,15,77,0.001,-0.044500000000000005,-0.2028,-0.2028,14.0898,1.0,0.0,0.0,5.0,-0.25,-0.4932,-0.6635
NVDA,7,15,78,0.001,-0.044500000000000005,-0.2028,-0.2028,14.0898,1.0,0.0,0.0,5.0,-0.25,-0.4932,-0.6635
