symbol,w_param,buy_param,sell_param,fee_,CAGR,Accumulated return,Average return,Benchmark return,Number of trades,Number of win,Hit ratio,Investment period,Sharpe ratio,MDD,Benchmark MDD
TSLA,7,15,55,0.001,0.04190000000000001,0.22649999999999998,0.0321,2.4175,7.0,4.0,0.5714,5.0,0.08,-0.24559999999999998,-0.7363
TSLA,7,15,56,0.001,0.04190000000000001,0.22649999999999998,0.0321,2.4175,7.0,4.0,0.5714,5.0,0.08,-0.24559999999999998,-0.7363
TSLA,7,15,57,0.001,0.0383,0.20550000000000002,0.0297,2.4175,7.0,3.0,0.4286,5.0,0.06,-0.24559999999999998,-0.7363
TSLA,7,15,58,0.001,0.0383,0.20550000000000002,0.0297,2.4175,7.0,3.0,0.4286,5.0,0.06,-0.24559999999999998,-0.7363
TSLA,7,15,59,0.001,0.0507,0.2793,0.038900000000000004,2.4175,7.0,3.0,0.4286,5.0,0.1,-0.24559999999999998,-0.7363
TSLA,7,15,60,0.001,0.0507,0.2793,0.038900000000000004,2.4175,7.0,3.0,0.4286,5.0,0.1,-0.24559999999999998,-0.7363
TSLA,7,15,61,0.001,0.0507,0.2793,0.038900000000000004,2.4175,7.0,3.0,0.4286,5.0,0.1,-0.24559999999999998,-0.7363
TSLA,7,15,62,0.001,-0.0196,-0.09369999999999999,-0.006,2.4175,6.0,2.0,0.3333,5.0,-0.13,-0.4484,-0.7363
TSLA,7,15,63,0.001,-0.013600000000000001,-0.0658,-0.0016,2.4175,6.0,3.0,0.5,5.0,-0.11,-0.4484,-0.7363
TSLA,7,15,64,0.001,0.011399999999999999,0.0581,0.0173,2.4175,6.0,3.0,0.5,5.0,-0.02,-0.4484,-0.7363
TSLA,7,15,65,0.001,0.0184,0.09519999999999999,0.0231,2.4175,6.0,4.0,0.6667000000000001,5.0,-0.0,-0.4484,-0.7363
TSLA,7,15,66,0.001,0.0184,0.09519999999999999,0.0231,2.4175,6.0,4.0,0.6667000000000001,5.0,-0.0,-0.4484,-0.7363
TSLA,7,15,67,0.001,0.0184,0.09519999999999999,0.0231,2.4175,6.0,4.0,0.6667000000000001,5.0,-0.0,-0.4484,-0.7363
TSLA,7,15,68,0.001,0.0184,0.09519999999999999,0.0231,2.4175,6.0,4.0,0.6667000000000001,5.0,-0.0,-0.4484,-0.7363
TSLA,7,15,69,0.001,0.016200000000000003,0.08310000000000001,0.0212,2.4175,6.0,4.0,0.6667000000000001,5.0,-0.01,-0.4484,-0.7363
TSLA,7,15,70,0.001,0.016200000000000003,0.08310000000000001,0.0212,2.4175,6.0,4.0,0.6667000000000001,5.0,-0.01,-0.4484,-0.7363
TSLA,7,15,71,0.001,0.0387,0.2078,0.0421,2.4175,6.0,4.0,0.6667000000000001,5.0,0.05,-0.4484,-0.7363
TSLA,7,15,72,0.001,0.0387,0.2078,0.0421,2.4175,6.0,4.0,0.6667000000000001,5.0,0.05,-0.4484,-0.7363
TSLA,7,15,73,0.001,-0.013000000000000001,-0.0632,-0.0064,2.4175,5.0,3.0,0.6,5.0,-0.08,-0.4484,-0.7363
TSLA,7,15,74,0.001,0.0161,0.08289999999999999,0.0256,2.4175,5.0,3.0,0.6,5.0,-0.01,-0.4484,-0.7363
TSLA,7,15,75,0.001,-0.004,-0.0199,0.0009,2.4175,4.0,2.0,0.5,5.0,-0.06,-0.4854,-0.7363
TSLA,7,15,76,0.001,-0.004,-0.0199,0.0009,2.4175,4.0,2.0,0.5,5.0,-0.06,-0.4854,-0.7363
TSLA,7,15,77,0.001,-0.026699999999999998,-0.126,-0.0286,2.4175,4.0,1.0,0.25,5.0,-0.11,-0.4854,-0.7363
TSLA,7,15,78,0.001,-0.0113,-0.0548,-0.0105,2.4175,4.0,1.0,0.25,5.0,-0.07,-0.4854,-0.7363
TSLA,7,15,79,0.001,-0.0113,-0.0548,-0.0105,2.4175,4.0,1.0,0.25,5.0,-0.07,-0.4854,-0.7363
TSLA,7,15,80,0.001,-0.0017000000000000001,-0.008199999999999999,0.0033,2.4175,4.0,1.0,0.25,5.0,-0.05,-0.4854,-0.7363
TSLA,7,15,81,0.001,-0.0017000000000000001,-0.008199999999999999,0.0033,2.4175,4.0,1.0,0.25,5.0,-0.05,-0.4854,-0.7363
TSLA,7,15,82,0.001,-0.0017000000000000001,-0.008199999999999999,0.0033,2.4175,4.0,1.0,0.25,5.0,-0.05,-0.4854,-0.7363
TSLA,7,15,83,0.001,0.0424,0.2299,0.0617,2.4175,4.0,2.0,0.5,5.0,0.05,-0.4854,-0.7363
