symbol,w_param,buy_param,sell_param,fee_,CAGR,Accumulated return,Average return,Benchmark return,Number of trades,Number of win,Hit ratio,Investment period,Sharpe ratio,MDD,Benchmark MDD
^KS11,7,15,55,0.001,0.07429999999999999,0.4291,0.0369,0.4311,10.0,9.0,0.9,5.0,0.59,-0.0814,-0.3479
^KS11,7,15,56,0.001,0.07719999999999999,0.4483,0.0383,0.4311,10.0,9.0,0.9,5.0,0.63,-0.0814,-0.3479
^KS11,7,15,57,0.001,0.0818,0.4797,0.0405,0.4311,10.0,9.0,0.9,5.0,0.67,-0.0814,-0.3479
^KS11,7,15,58,0.001,0.0818,0.4794,0.0405,0.4311,10.0,9.0,0.9,5.0,0.67,-0.0814,-0.3479
^KS11,7,15,59,0.001,0.0855,0.5052,0.042300000000000004,0.4311,10.0,9.0,0.9,5.0,0.71,-0.0814,-0.3479
^KS11,7,15,60,0.001,0.08650000000000001,0.5118,0.042800000000000005,0.4311,10.0,9.0,0.9,5.0,0.69,-0.0814,-0.3479
^KS11,7,15,61,0.001,0.08650000000000001,0.5118,0.042800000000000005,0.4311,10.0,9.0,0.9,5.0,0.69,-0.0814,-0.3479
^KS11,7,15,62,0.001,0.0706,0.4047,0.039,0.4311,9.0,8.0,0.8889,5.0,0.51,-0.0814,-0.3479
^KS11,7,15,63,0.001,0.0726,0.4178,0.04,0.4311,9.0,8.0,0.8889,5.0,0.53,-0.0814,-0.3479
^KS11,7,15,64,0.001,0.0717,0.4118,0.0395,0.4311,9.0,8.0,0.8889,5.0,0.5,-0.0814,-0.3479
^KS11,7,15,65,0.001,0.07,0.4007,0.038599999999999995,0.4311,9.0,8.0,0.8889,5.0,0.45,-0.0814,-0.3479
^KS11,7,15,66,0.001,0.0735,0.4239,0.0406,0.4311,9.0,8.0,0.8889,5.0,0.48,-0.0814,-0.3479
^KS11,7,15,67,0.001,0.0768,0.4461,0.0424,0.4311,9.0,8.0,0.8889,5.0,0.51,-0.0814,-0.3479
^KS11,7,15,68,0.001,0.0768,0.4461,0.0424,0.4311,9.0,8.0,0.8889,5.0,0.51,-0.0814,-0.3479
^KS11,7,15,69,0.001,0.035699999999999996,0.1912,0.0265,0.4311,7.0,5.0,0.7143,5.0,0.13,-0.15380000000000002,-0.3479
^KS11,7,15,70,0.001,0.041299999999999996,0.2232,0.0305,0.4311,7.0,5.0,0.7143,5.0,0.17,-0.15380000000000002,-0.3479
^KS11,7,15,71,0.001,0.0226,0.11779999999999999,0.0235,0.4311,6.0,5.0,0.8332999999999999,5.0,0.02,-0.2483,-0.3479
^KS11,7,15,72,0.001,0.0226,0.11779999999999999,0.0235,0.4311,6.0,5.0,0.8332999999999999,5.0,0.02,-0.2483,-0.3479
^KS11,7,15,73,0.001,0.030699999999999998,0.1628,0.0302,0.4311,6.0,5.0,0.8332999999999999,5.0,0.08,-0.2483,-0.3479
