symbol,factor,buy_param,sell_param,fee_,CAGR,Accumulated return,Average return,Benchmark return,Number of trades,Number of win,Hit ratio,Investment period,Sharpe ratio,MDD,Benchmark MDD
AAPL,slow_k,10,60,0.001,0.1195,0.7463,0.0348,1.2154,17.0,15.0,0.8824,4.9,0.51,-0.18510000000000001,-0.3343
AAPL,slow_k,10,61,0.001,0.1233,0.7754000000000001,0.0358,1.2154,17.0,15.0,0.8824,4.9,0.52,-0.18510000000000001,-0.3343
AAPL,slow_k,10,62,0.001,0.1217,0.7628,0.0354,1.2154,17.0,15.0,0.8824,4.9,0.51,-0.18510000000000001,-0.3343
AAPL,slow_k,10,63,0.001,0.1215,0.7612000000000001,0.0354,1.2154,17.0,15.0,0.8824,4.9,0.51,-0.1858,-0.3343
AAPL,slow_k,10,64,0.001,0.1209,0.7565999999999999,0.0352,1.2154,17.0,15.0,0.8824,4.9,0.51,-0.1858,-0.3343
AAPL,slow_k,10,65,0.001,0.1249,0.7877,0.0362,1.2154,17.0,15.0,0.8824,4.9,0.52,-0.1885,-0.3343
AAPL,slow_k,10,66,0.001,0.1249,0.7877,0.0362,1.2154,17.0,15.0,0.8824,4.9,0.52,-0.1885,-0.3343
AAPL,slow_k,10,67,0.001,0.12789999999999999,0.8119,0.037000000000000005,1.2154,17.0,15.0,0.8824,4.9,0.54,-0.1885,-0.3343
AAPL,slow_k,10,68,0.001,0.12789999999999999,0.8119,0.037000000000000005,1.2154,17.0,15.0,0.8824,4.9,0.54,-0.1885,-0.3343
AAPL,slow_k,10,69,0.001,0.12789999999999999,0.8119,0.037000000000000005,1.2154,17.0,15.0,0.8824,4.9,0.54,-0.1885,-0.3343
AAPL,slow_k,10,70,0.001,0.1301,0.8293,0.037599999999999995,1.2154,17.0,15.0,0.8824,4.9,0.55,-0.1807,-0.3343
AAPL,slow_k,10,71,0.001,0.14859999999999998,0.9817,0.0424,1.2154,17.0,15.0,0.8824,4.9,0.64,-0.1727,-0.3343
AAPL,slow_k,10,72,0.001,0.1509,1.0017,0.043,1.2154,17.0,15.0,0.8824,4.9,0.65,-0.1727,-0.3343
AAPL,slow_k,10,73,0.001,0.1509,1.0017,0.043,1.2154,17.0,15.0,0.8824,4.9,0.65,-0.1727,-0.3343
AAPL,slow_k,10,74,0.001,0.1517,1.008,0.0431,1.2154,17.0,15.0,0.8824,4.9,0.65,-0.1727,-0.3343
AAPL,slow_k,10,75,0.001,0.1517,1.008,0.0431,1.2154,17.0,15.0,0.8824,4.9,0.65,-0.1727,-0.3343
AAPL,slow_k,10,76,0.001,0.1566,1.0507,0.0444,1.2154,17.0,15.0,0.8824,4.9,0.68,-0.1727,-0.3343
AAPL,slow_k,10,77,0.001,0.1472,0.9695,0.044500000000000005,1.2154,16.0,14.0,0.875,4.9,0.62,-0.1727,-0.3343
AAPL,slow_k,10,78,0.001,0.14800000000000002,0.977,0.0447,1.2154,16.0,14.0,0.875,4.9,0.63,-0.1727,-0.3343
AAPL,slow_k,10,79,0.001,0.1492,0.9865999999999999,0.045,1.2154,16.0,14.0,0.875,4.9,0.63,-0.1727,-0.3343
AAPL,slow_k,10,80,0.001,0.1558,1.0441,0.046900000000000004,1.2154,16.0,14.0,0.875,4.9,0.66,-0.1727,-0.3343
AAPL,slow_k,10,81,0.001,0.1595,1.0768,0.048,1.2154,16.0,14.0,0.875,4.9,0.67,-0.1727,-0.3343
AAPL,slow_k,10,82,0.001,0.1595,1.0768,0.048,1.2154,16.0,14.0,0.875,4.9,0.67,-0.1727,-0.3343
AAPL,slow_k,10,83,0.001,0.1668,1.1416,0.05,1.2154,16.0,14.0,0.875,4.9,0.71,-0.1727,-0.3343
AAPL,slow_k,10,84,0.001,0.17170000000000002,1.1861,0.051399999999999994,1.2154,16.0,14.0,0.875,4.9,0.73,-0.1727,-0.3343
AAPL,slow_k,10,85,0.001,0.098,0.5861999999999999,0.035,1.2154,14.0,11.0,0.7857,4.9,0.35,-0.2341,-0.3343
AAPL,slow_k,10,86,0.001,0.1117,0.687,0.039900000000000005,1.2154,14.0,11.0,0.7857,4.9,0.41,-0.2341,-0.3343
AAPL,slow_k,10,87,0.001,0.1161,0.7195999999999999,0.0412,1.2154,14.0,11.0,0.7857,4.9,0.42,-0.2341,-0.3343
AAPL,slow_k,10,88,0.001,0.11900000000000001,0.7418,0.0421,1.2154,14.0,11.0,0.7857,4.9,0.44,-0.2341,-0.3343
AAPL,slow_k,10,89,0.001,0.1217,0.7631999999999999,0.043,1.2154,14.0,11.0,0.7857,4.9,0.45,-0.2341,-0.3343
AAPL,slow_k,10,90,0.001,0.1317,0.8417,0.0464,1.2154,14.0,11.0,0.7857,4.9,0.49,-0.2341,-0.3343
AAPL,slow_k,11,60,0.001,0.1168,0.7252,0.0304,1.2154,19.0,16.0,0.8421,4.9,0.48,-0.18510000000000001,-0.3343
AAPL,slow_k,11,61,0.001,0.12050000000000001,0.7539,0.0313,1.2154,19.0,16.0,0.8421,4.9,0.49,-0.18510000000000001,-0.3343
AAPL,slow_k,11,62,0.001,0.1189,0.7414000000000001,0.030899999999999997,1.2154,19.0,16.0,0.8421,4.9,0.48,-0.18510000000000001,-0.3343
AAPL,slow_k,11,63,0.001,0.11869999999999999,0.7399,0.030899999999999997,1.2154,19.0,16.0,0.8421,4.9,0.48,-0.1858,-0.3343
AAPL,slow_k,11,64,0.001,0.11810000000000001,0.7353000000000001,0.0308,1.2154,19.0,16.0,0.8421,4.9,0.48,-0.1858,-0.3343
AAPL,slow_k,11,65,0.001,0.12210000000000001,0.7661,0.0317,1.2154,19.0,16.0,0.8421,4.9,0.49,-0.1885,-0.3343
AAPL,slow_k,11,66,0.001,0.12210000000000001,0.7661,0.0317,1.2154,19.0,16.0,0.8421,4.9,0.49,-0.1885,-0.3343
AAPL,slow_k,11,67,0.001,0.1252,0.79,0.032400000000000005,1.2154,19.0,16.0,0.8421,4.9,0.51,-0.1885,-0.3343
AAPL,slow_k,11,68,0.001,0.1252,0.79,0.032400000000000005,1.2154,19.0,16.0,0.8421,4.9,0.51,-0.1885,-0.3343
AAPL,slow_k,11,69,0.001,0.1278,0.8108,0.0331,1.2154,19.0,16.0,0.8421,4.9,0.52,-0.1885,-0.3343
AAPL,slow_k,11,70,0.001,0.13,0.8281999999999999,0.0336,1.2154,19.0,16.0,0.8421,4.9,0.53,-0.1807,-0.3343
AAPL,slow_k,11,71,0.001,0.1485,0.9804999999999999,0.0378,1.2154,19.0,16.0,0.8421,4.9,0.61,-0.1727,-0.3343
AAPL,slow_k,11,72,0.001,0.1508,1.0005,0.0384,1.2154,19.0,16.0,0.8421,4.9,0.62,-0.1727,-0.3343
AAPL,slow_k,11,73,0.001,0.1508,1.0005,0.0384,1.2154,19.0,16.0,0.8421,4.9,0.62,-0.1727,-0.3343
AAPL,slow_k,11,74,0.001,0.1515,1.0068000000000001,0.0385,1.2154,19.0,16.0,0.8421,4.9,0.62,-0.1727,-0.3343
AAPL,slow_k,11,75,0.001,0.15460000000000002,1.0336,0.0393,1.2154,19.0,16.0,0.8421,4.9,0.64,-0.1727,-0.3343
AAPL,slow_k,11,76,0.001,0.163,1.1072,0.0412,1.2154,19.0,16.0,0.8421,4.9,0.68,-0.1727,-0.3343
