symbol,factor,buy_param,sell_param,fee_,CAGR,Accumulated return,Average return,Benchmark return,Number of trades,Number of win,Hit ratio,Investment period,Sharpe ratio,MDD,Benchmark MDD
AMZN,slow_k,10,60,0.001,-0.0571,-0.2518,-0.0207,0.4582,12.0,7.0,0.5832999999999999,4.9,-0.34,-0.38299999999999995,-0.5615
AMZN,slow_k,10,61,0.001,-0.0529,-0.2354,-0.019,0.4582,12.0,7.0,0.5832999999999999,4.9,-0.32,-0.36950000000000005,-0.5615
AMZN,slow_k,10,62,0.001,-0.0565,-0.24969999999999998,-0.0207,0.4582,12.0,7.0,0.5832999999999999,4.9,-0.33,-0.36950000000000005,-0.5615
AMZN,slow_k,10,63,0.001,-0.0496,-0.222,-0.0175,0.4582,12.0,7.0,0.5832999999999999,4.9,-0.3,-0.36950000000000005,-0.5615
AMZN,slow_k,10,64,0.001,-0.048799999999999996,-0.2187,-0.0171,0.4582,12.0,7.0,0.5832999999999999,4.9,-0.29,-0.36950000000000005,-0.5615
AMZN,slow_k,10,65,0.001,-0.06709999999999999,-0.2903,-0.0278,0.4582,11.0,5.0,0.4545,4.9,-0.36,-0.42200000000000004,-0.5615
AMZN,slow_k,10,66,0.001,-0.0713,-0.3061,-0.0297,0.4582,11.0,5.0,0.4545,4.9,-0.38,-0.42200000000000004,-0.5615
AMZN,slow_k,10,67,0.001,-0.0645,-0.2803,-0.0263,0.4582,11.0,5.0,0.4545,4.9,-0.35,-0.42200000000000004,-0.5615
AMZN,slow_k,10,68,0.001,-0.0645,-0.2803,-0.0263,0.4582,11.0,5.0,0.4545,4.9,-0.35,-0.42200000000000004,-0.5615
AMZN,slow_k,10,69,0.001,-0.0645,-0.2803,-0.0263,0.4582,11.0,5.0,0.4545,4.9,-0.35,-0.42200000000000004,-0.5615
AMZN,slow_k,10,70,0.001,-0.0645,-0.2803,-0.0263,0.4582,11.0,5.0,0.4545,4.9,-0.35,-0.42200000000000004,-0.5615
AMZN,slow_k,10,71,0.001,-0.0645,-0.2803,-0.0263,0.4582,11.0,5.0,0.4545,4.9,-0.35,-0.42200000000000004,-0.5615
AMZN,slow_k,10,72,0.001,-0.0645,-0.2803,-0.0263,0.4582,11.0,5.0,0.4545,4.9,-0.35,-0.42200000000000004,-0.5615
AMZN,slow_k,10,73,0.001,-0.0645,-0.2803,-0.0263,0.4582,11.0,5.0,0.4545,4.9,-0.35,-0.42200000000000004,-0.5615
AMZN,slow_k,10,74,0.001,-0.0645,-0.2803,-0.0263,0.4582,11.0,5.0,0.4545,4.9,-0.35,-0.42200000000000004,-0.5615
AMZN,slow_k,10,75,0.001,-0.0558,-0.24670000000000003,-0.022099999999999998,0.4582,11.0,5.0,0.4545,4.9,-0.31,-0.4188,-0.5615
AMZN,slow_k,10,76,0.001,-0.0558,-0.24670000000000003,-0.022099999999999998,0.4582,11.0,5.0,0.4545,4.9,-0.31,-0.4188,-0.5615
AMZN,slow_k,10,77,0.001,-0.0449,-0.2029,-0.0169,0.4582,11.0,6.0,0.5455,4.9,-0.27,-0.4188,-0.5615
AMZN,slow_k,10,78,0.001,-0.0449,-0.2029,-0.0169,0.4582,11.0,6.0,0.5455,4.9,-0.27,-0.4188,-0.5615
AMZN,slow_k,10,79,0.001,-0.0464,-0.20920000000000002,-0.0177,0.4582,11.0,7.0,0.6364,4.9,-0.27,-0.4188,-0.5615
AMZN,slow_k,10,80,0.001,-0.0599,-0.26280000000000003,-0.023399999999999997,0.4582,11.0,7.0,0.6364,4.9,-0.3,-0.4355,-0.5615
AMZN,slow_k,10,81,0.001,-0.0599,-0.26280000000000003,-0.023399999999999997,0.4582,11.0,7.0,0.6364,4.9,-0.3,-0.4355,-0.5615
AMZN,slow_k,10,82,0.001,-0.0599,-0.26280000000000003,-0.023399999999999997,0.4582,11.0,7.0,0.6364,4.9,-0.3,-0.4355,-0.5615
AMZN,slow_k,10,83,0.001,-0.0533,-0.2368,-0.0202,0.4582,11.0,7.0,0.6364,4.9,-0.27,-0.4188,-0.5615
AMZN,slow_k,10,84,0.001,-0.0466,-0.20980000000000001,-0.0171,0.4582,11.0,7.0,0.6364,4.9,-0.24,-0.4188,-0.5615
AMZN,slow_k,10,85,0.001,-0.044199999999999996,-0.20010000000000003,-0.016200000000000003,0.4582,11.0,7.0,0.6364,4.9,-0.23,-0.4117,-0.5615
