symbol,factor,buy_param,sell_param,fee_,CAGR,Accumulated return,Average return,Benchmark return,Number of trades,Number of win,Hit ratio,Investment period,Sharpe ratio,MDD,Benchmark MDD
MSFT,slow_k,10,60,0.001,0.12869999999999998,0.8177,0.0301,1.4709999999999999,21.0,16.0,0.7619,4.9,0.67,-0.16519999999999999,-0.37560000000000004
MSFT,slow_k,10,61,0.001,0.1335,0.8562000000000001,0.031200000000000002,1.4709999999999999,21.0,16.0,0.7619,4.9,0.69,-0.16519999999999999,-0.37560000000000004
MSFT,slow_k,10,62,0.001,0.1335,0.8562000000000001,0.031200000000000002,1.4709999999999999,21.0,16.0,0.7619,4.9,0.69,-0.16519999999999999,-0.37560000000000004
MSFT,slow_k,10,63,0.001,0.1308,0.8345,0.030600000000000002,1.4709999999999999,21.0,16.0,0.7619,4.9,0.68,-0.16519999999999999,-0.37560000000000004
MSFT,slow_k,10,64,0.001,0.1332,0.8537,0.0311,1.4709999999999999,21.0,16.0,0.7619,4.9,0.69,-0.16519999999999999,-0.37560000000000004
MSFT,slow_k,10,65,0.001,0.12960000000000002,0.8255,0.0304,1.4709999999999999,21.0,16.0,0.7619,4.9,0.67,-0.16519999999999999,-0.37560000000000004
MSFT,slow_k,10,66,0.001,0.13369999999999999,0.8582,0.031200000000000002,1.4709999999999999,21.0,16.0,0.7619,4.9,0.68,-0.16519999999999999,-0.37560000000000004
MSFT,slow_k,10,67,0.001,0.1101,0.6745,0.0275,1.4709999999999999,20.0,14.0,0.7,4.9,0.53,-0.16519999999999999,-0.37560000000000004
MSFT,slow_k,10,68,0.001,0.1057,0.642,0.0265,1.4709999999999999,20.0,14.0,0.7,4.9,0.5,-0.16519999999999999,-0.37560000000000004
MSFT,slow_k,10,69,0.001,0.1045,0.6338,0.0263,1.4709999999999999,20.0,14.0,0.7,4.9,0.49,-0.16519999999999999,-0.37560000000000004
MSFT,slow_k,10,70,0.001,0.1114,0.6846,0.0279,1.4709999999999999,20.0,14.0,0.7,4.9,0.47,-0.1648,-0.37560000000000004
MSFT,slow_k,10,71,0.001,0.1208,0.7556,0.03,1.4709999999999999,20.0,14.0,0.7,4.9,0.52,-0.1648,-0.37560000000000004
MSFT,slow_k,10,72,0.001,0.12,0.7501000000000001,0.0298,1.4709999999999999,20.0,14.0,0.7,4.9,0.52,-0.1648,-0.37560000000000004
MSFT,slow_k,10,73,0.001,0.1215,0.7611,0.030299999999999997,1.4709999999999999,20.0,14.0,0.7,4.9,0.52,-0.1648,-0.37560000000000004
MSFT,slow_k,10,74,0.001,0.1207,0.7548999999999999,0.0301,1.4709999999999999,20.0,14.0,0.7,4.9,0.52,-0.1648,-0.37560000000000004
MSFT,slow_k,10,75,0.001,0.12140000000000001,0.7606,0.030299999999999997,1.4709999999999999,20.0,14.0,0.7,4.9,0.52,-0.1648,-0.37560000000000004
MSFT,slow_k,10,76,0.001,0.1148,0.7103,0.028900000000000002,1.4709999999999999,20.0,14.0,0.7,4.9,0.48,-0.1648,-0.37560000000000004
MSFT,slow_k,10,77,0.001,0.1117,0.687,0.0297,1.4709999999999999,19.0,13.0,0.6842,4.9,0.46,-0.1659,-0.37560000000000004
MSFT,slow_k,10,78,0.001,0.1108,0.6797,0.029500000000000002,1.4709999999999999,19.0,13.0,0.6842,4.9,0.45,-0.1659,-0.37560000000000004
MSFT,slow_k,10,79,0.001,0.11470000000000001,0.7093,0.0304,1.4709999999999999,19.0,13.0,0.6842,4.9,0.47,-0.1659,-0.37560000000000004
MSFT,slow_k,10,80,0.001,0.1183,0.7368000000000001,0.0313,1.4709999999999999,19.0,13.0,0.6842,4.9,0.49,-0.1648,-0.37560000000000004
MSFT,slow_k,10,81,0.001,0.1184,0.7378,0.0313,1.4709999999999999,19.0,13.0,0.6842,4.9,0.49,-0.1648,-0.37560000000000004
MSFT,slow_k,10,82,0.001,0.1168,0.7256,0.031,1.4709999999999999,19.0,13.0,0.6842,4.9,0.48,-0.1648,-0.37560000000000004
MSFT,slow_k,10,83,0.001,0.11810000000000001,0.7351000000000001,0.0313,1.4709999999999999,19.0,14.0,0.7368000000000001,4.9,0.49,-0.1648,-0.37560000000000004
MSFT,slow_k,10,84,0.001,0.1182,0.7361,0.0331,1.4709999999999999,18.0,13.0,0.7222,4.9,0.47,-0.1648,-0.37560000000000004
MSFT,slow_k,10,85,0.001,0.1253,0.7913,0.0351,1.4709999999999999,18.0,13.0,0.7222,4.9,0.51,-0.1648,-0.37560000000000004
MSFT,slow_k,10,86,0.001,0.1097,0.6717,0.0326,1.4709999999999999,17.0,12.0,0.7059000000000001,4.9,0.43,-0.1916,-0.37560000000000004
MSFT,slow_k,10,87,0.001,0.11699999999999999,0.7265999999999999,0.0346,1.4709999999999999,17.0,12.0,0.7059000000000001,4.9,0.46,-0.1916,-0.37560000000000004
MSFT,slow_k,10,88,0.001,0.08220000000000001,0.4772,0.0264,1.4709999999999999,16.0,11.0,0.6875,4.9,0.29,-0.23170000000000002,-0.37560000000000004
MSFT,slow_k,10,89,0.001,0.0718,0.4082,0.024900000000000002,1.4709999999999999,15.0,10.0,0.6667000000000001,4.9,0.24,-0.23170000000000002,-0.37560000000000004
MSFT,slow_k,10,90,0.001,0.0894,0.5264,0.0311,1.4709999999999999,15.0,10.0,0.6667000000000001,4.9,0.3,-0.23170000000000002,-0.37560000000000004
MSFT,slow_k,11,60,0.001,0.1305,0.8321999999999999,0.0291,1.4709999999999999,22.0,17.0,0.7726999999999999,4.9,0.66,-0.16519999999999999,-0.37560000000000004
MSFT,slow_k,11,61,0.001,0.1353,0.8711,0.0301,1.4709999999999999,22.0,17.0,0.7726999999999999,4.9,0.69,-0.16519999999999999,-0.37560000000000004
MSFT,slow_k,11,62,0.001,0.1353,0.8711,0.0301,1.4709999999999999,22.0,17.0,0.7726999999999999,4.9,0.69,-0.16519999999999999,-0.37560000000000004
MSFT,slow_k,11,63,0.001,0.1326,0.8491,0.0296,1.4709999999999999,22.0,17.0,0.7726999999999999,4.9,0.67,-0.16519999999999999,-0.37560000000000004
MSFT,slow_k,11,64,0.001,0.135,0.8686,0.0301,1.4709999999999999,22.0,17.0,0.7726999999999999,4.9,0.69,-0.16519999999999999,-0.37560000000000004
MSFT,slow_k,11,65,0.001,0.1349,0.8674,0.0301,1.4709999999999999,22.0,17.0,0.7726999999999999,4.9,0.69,-0.16519999999999999,-0.37560000000000004
MSFT,slow_k,11,66,0.001,0.1389,0.9007999999999999,0.0308,1.4709999999999999,22.0,17.0,0.7726999999999999,4.9,0.7,-0.16519999999999999,-0.37560000000000004
MSFT,slow_k,11,67,0.001,0.1152,0.7129000000000001,0.0273,1.4709999999999999,21.0,15.0,0.7143,4.9,0.55,-0.16519999999999999,-0.37560000000000004
MSFT,slow_k,11,68,0.001,0.1107,0.6796,0.0263,1.4709999999999999,21.0,15.0,0.7143,4.9,0.52,-0.16519999999999999,-0.37560000000000004
MSFT,slow_k,11,69,0.001,0.1096,0.6713,0.026099999999999998,1.4709999999999999,21.0,15.0,0.7143,4.9,0.51,-0.16519999999999999,-0.37560000000000004
MSFT,slow_k,11,70,0.001,0.1165,0.7232,0.0276,1.4709999999999999,21.0,15.0,0.7143,4.9,0.49,-0.1648,-0.37560000000000004
MSFT,slow_k,11,71,0.001,0.1259,0.7959,0.0297,1.4709999999999999,21.0,15.0,0.7143,4.9,0.54,-0.1648,-0.37560000000000004
MSFT,slow_k,11,72,0.001,0.1252,0.7902,0.029500000000000002,1.4709999999999999,21.0,15.0,0.7143,4.9,0.54,-0.1648,-0.37560000000000004
MSFT,slow_k,11,73,0.001,0.12890000000000001,0.8197,0.0304,1.4709999999999999,21.0,15.0,0.7143,4.9,0.55,-0.1648,-0.37560000000000004
MSFT,slow_k,11,74,0.001,0.1281,0.8133,0.030299999999999997,1.4709999999999999,21.0,15.0,0.7143,4.9,0.55,-0.1648,-0.37560000000000004
MSFT,slow_k,11,75,0.001,0.12890000000000001,0.8192,0.0304,1.4709999999999999,21.0,15.0,0.7143,4.9,0.55,-0.1648,-0.37560000000000004
MSFT,slow_k,11,76,0.001,0.1222,0.7672,0.0291,1.4709999999999999,21.0,15.0,0.7143,4.9,0.51,-0.1648,-0.37560000000000004
MSFT,slow_k,11,77,0.001,0.1191,0.7431,0.029900000000000003,1.4709999999999999,20.0,14.0,0.7,4.9,0.49,-0.1659,-0.37560000000000004
MSFT,slow_k,11,78,0.001,0.1182,0.7356,0.0296,1.4709999999999999,20.0,14.0,0.7,4.9,0.48,-0.1659,-0.37560000000000004
MSFT,slow_k,11,79,0.001,0.12210000000000001,0.7662,0.0305,1.4709999999999999,20.0,14.0,0.7,4.9,0.5,-0.1659,-0.37560000000000004
MSFT,slow_k,11,80,0.001,0.1293,0.8229000000000001,0.0322,1.4709999999999999,20.0,14.0,0.7,4.9,0.53,-0.1648,-0.37560000000000004
MSFT,slow_k,11,81,0.001,0.1294,0.8239,0.0322,1.4709999999999999,20.0,14.0,0.7,4.9,0.53,-0.1648,-0.37560000000000004
MSFT,slow_k,11,82,0.001,0.1278,0.8111,0.0319,1.4709999999999999,20.0,14.0,0.7,4.9,0.53,-0.1648,-0.37560000000000004
MSFT,slow_k,11,83,0.001,0.1291,0.8210999999999999,0.0322,1.4709999999999999,20.0,15.0,0.75,4.9,0.53,-0.1648,-0.37560000000000004
MSFT,slow_k,11,84,0.001,0.1292,0.8220999999999999,0.034,1.4709999999999999,19.0,14.0,0.7368000000000001,4.9,0.52,-0.1648,-0.37560000000000004
MSFT,slow_k,11,85,0.001,0.1364,0.8801000000000001,0.0358,1.4709999999999999,19.0,14.0,0.7368000000000001,4.9,0.55,-0.1648,-0.37560000000000004
MSFT,slow_k,11,86,0.001,0.1264,0.8001,0.035,1.4709999999999999,18.0,13.0,0.7222,4.9,0.49,-0.1916,-0.37560000000000004
MSFT,slow_k,11,87,0.001,0.1338,0.8591,0.0369,1.4709999999999999,18.0,13.0,0.7222,4.9,0.53,-0.1916,-0.37560000000000004
MSFT,slow_k,11,88,0.001,0.0986,0.5906,0.029300000000000003,1.4709999999999999,17.0,12.0,0.7059000000000001,4.9,0.35,-0.23170000000000002,-0.37560000000000004
MSFT,slow_k,11,89,0.001,0.08800000000000001,0.5163,0.0281,1.4709999999999999,16.0,11.0,0.6875,4.9,0.3,-0.23170000000000002,-0.37560000000000004
MSFT,slow_k,11,90,0.001,0.1059,0.6435,0.0339,1.4709999999999999,16.0,11.0,0.6875,4.9,0.37,-0.23170000000000002,-0.37560000000000004
