symbol,factor,buy_param,sell_param,fee_,CAGR,Accumulated return,Average return,Benchmark return,Number of trades,Number of win,Hit ratio,Investment period,Sharpe ratio,MDD,Benchmark MDD
^GSPC,slow_k,10,60,0.001,0.0492,0.26780000000000004,0.0167,0.9296,15.0,12.0,0.8,4.9,0.23,-0.141,-0.25429999999999997
^GSPC,slow_k,10,61,0.001,0.0492,0.26780000000000004,0.0167,0.9296,15.0,12.0,0.8,4.9,0.23,-0.141,-0.25429999999999997
^GSPC,slow_k,10,62,0.001,0.0507,0.2767,0.0172,0.9296,15.0,12.0,0.8,4.9,0.24,-0.141,-0.25429999999999997
^GSPC,slow_k,10,63,0.001,0.0455,0.24559999999999998,0.0155,0.9296,15.0,11.0,0.7333,4.9,0.2,-0.141,-0.25429999999999997
^GSPC,slow_k,10,64,0.001,0.049699999999999994,0.2707,0.0169,0.9296,15.0,12.0,0.8,4.9,0.23,-0.1298,-0.25429999999999997
^GSPC,slow_k,10,65,0.001,0.049400000000000006,0.2687,0.0168,0.9296,15.0,12.0,0.8,4.9,0.23,-0.1298,-0.25429999999999997
^GSPC,slow_k,10,66,0.001,0.0537,0.2945,0.018000000000000002,0.9296,15.0,12.0,0.8,4.9,0.26,-0.1298,-0.25429999999999997
^GSPC,slow_k,10,67,0.001,0.0537,0.2945,0.018000000000000002,0.9296,15.0,12.0,0.8,4.9,0.26,-0.1298,-0.25429999999999997
^GSPC,slow_k,10,68,0.001,0.0562,0.3099,0.018799999999999997,0.9296,15.0,12.0,0.8,4.9,0.28,-0.1298,-0.25429999999999997
^GSPC,slow_k,10,69,0.001,0.0562,0.3099,0.018799999999999997,0.9296,15.0,12.0,0.8,4.9,0.28,-0.1298,-0.25429999999999997
^GSPC,slow_k,10,70,0.001,0.0542,0.2975,0.0181,0.9296,15.0,12.0,0.8,4.9,0.26,-0.1298,-0.25429999999999997
^GSPC,slow_k,10,71,0.001,0.0572,0.316,0.0191,0.9296,15.0,13.0,0.8667,4.9,0.29,-0.1298,-0.25429999999999997
^GSPC,slow_k,10,72,0.001,0.0603,0.33509999999999995,0.020099999999999996,0.9296,15.0,13.0,0.8667,4.9,0.31,-0.1298,-0.25429999999999997
^GSPC,slow_k,10,73,0.001,0.0601,0.33399999999999996,0.02,0.9296,15.0,13.0,0.8667,4.9,0.31,-0.1298,-0.25429999999999997
^GSPC,slow_k,10,74,0.001,0.0601,0.33399999999999996,0.02,0.9296,15.0,13.0,0.8667,4.9,0.31,-0.1298,-0.25429999999999997
^GSPC,slow_k,10,75,0.001,0.0626,0.3496,0.0208,0.9296,15.0,13.0,0.8667,4.9,0.33,-0.1298,-0.25429999999999997
^GSPC,slow_k,10,76,0.001,0.061200000000000004,0.3411,0.0204,0.9296,15.0,13.0,0.8667,4.9,0.32,-0.1298,-0.25429999999999997
^GSPC,slow_k,10,77,0.001,0.061500000000000006,0.3428,0.020499999999999997,0.9296,15.0,13.0,0.8667,4.9,0.32,-0.1298,-0.25429999999999997
^GSPC,slow_k,10,78,0.001,0.0662,0.3725,0.0219,0.9296,15.0,13.0,0.8667,4.9,0.35,-0.1298,-0.25429999999999997
^GSPC,slow_k,10,79,0.001,0.0393,0.20989999999999998,0.014199999999999999,0.9296,14.0,11.0,0.7857,4.9,0.14,-0.1374,-0.25429999999999997
^GSPC,slow_k,10,80,0.001,0.0438,0.2357,0.0158,0.9296,14.0,11.0,0.7857,4.9,0.17,-0.1374,-0.25429999999999997
^GSPC,slow_k,10,81,0.001,0.0467,0.2526,0.0168,0.9296,14.0,11.0,0.7857,4.9,0.19,-0.1374,-0.25429999999999997
^GSPC,slow_k,10,82,0.001,0.0458,0.24739999999999998,0.0165,0.9296,14.0,11.0,0.7857,4.9,0.18,-0.1374,-0.25429999999999997
^GSPC,slow_k,10,83,0.001,0.0458,0.24739999999999998,0.0165,0.9296,14.0,11.0,0.7857,4.9,0.18,-0.1374,-0.25429999999999997
^GSPC,slow_k,10,84,0.001,0.04650000000000001,0.25170000000000003,0.0168,0.9296,14.0,11.0,0.7857,4.9,0.19,-0.1374,-0.25429999999999997
^GSPC,slow_k,10,85,0.001,0.037200000000000004,0.1975,0.0146,0.9296,13.0,9.0,0.6923,4.9,0.12,-0.1382,-0.25429999999999997
