symbol,factor,buy_param,sell_param,fee_,CAGR,Accumulated return,Average return,Benchmark return,Number of trades,Number of win,Hit ratio,Investment period,Sharpe ratio,MDD,Benchmark MDD
^KS11,slow_k,10,60,0.001,0.029300000000000003,0.1535,0.0097,0.39409999999999995,16.0,10.0,0.625,4.9,0.07,-0.2303,-0.3479
^KS11,slow_k,10,61,0.001,0.029300000000000003,0.1535,0.0097,0.39409999999999995,16.0,10.0,0.625,4.9,0.07,-0.2303,-0.3479
^KS11,slow_k,10,62,0.001,0.0258,0.1344,0.0087,0.39409999999999995,16.0,9.0,0.5625,4.9,0.05,-0.2302,-0.3479
^KS11,slow_k,10,63,0.001,0.0268,0.1398,0.009000000000000001,0.39409999999999995,16.0,9.0,0.5625,4.9,0.05,-0.22649999999999998,-0.3479
^KS11,slow_k,10,64,0.001,0.013500000000000002,0.0687,0.0052,0.39409999999999995,15.0,8.0,0.5333,4.9,-0.05,-0.22649999999999998,-0.3479
^KS11,slow_k,10,65,0.001,0.0131,0.0663,0.005,0.39409999999999995,15.0,8.0,0.5333,4.9,-0.05,-0.22649999999999998,-0.3479
^KS11,slow_k,10,66,0.001,0.014199999999999999,0.0724,0.0054,0.39409999999999995,15.0,8.0,0.5333,4.9,-0.04,-0.21539999999999998,-0.3479
^KS11,slow_k,10,67,0.001,0.014199999999999999,0.0724,0.0054,0.39409999999999995,15.0,8.0,0.5333,4.9,-0.04,-0.21539999999999998,-0.3479
^KS11,slow_k,10,68,0.001,0.0131,0.0664,0.0051,0.39409999999999995,15.0,8.0,0.5333,4.9,-0.05,-0.2198,-0.3479
^KS11,slow_k,10,69,0.001,0.0131,0.0665,0.0051,0.39409999999999995,15.0,8.0,0.5333,4.9,-0.05,-0.2164,-0.3479
^KS11,slow_k,10,70,0.001,0.015300000000000001,0.07769999999999999,0.0058,0.39409999999999995,15.0,8.0,0.5333,4.9,-0.04,-0.2164,-0.3479
^KS11,slow_k,10,71,0.001,0.0163,0.0833,0.0060999999999999995,0.39409999999999995,15.0,8.0,0.5333,4.9,-0.03,-0.2164,-0.3479
^KS11,slow_k,10,72,0.001,0.022099999999999998,0.1143,0.008,0.39409999999999995,15.0,9.0,0.6,4.9,0.02,-0.2164,-0.3479
^KS11,slow_k,10,73,0.001,0.0235,0.12179999999999999,0.0085,0.39409999999999995,15.0,9.0,0.6,4.9,0.03,-0.2112,-0.3479
^KS11,slow_k,10,74,0.001,0.0218,0.1127,0.0079,0.39409999999999995,15.0,9.0,0.6,4.9,0.01,-0.2112,-0.3479
^KS11,slow_k,10,75,0.001,0.0208,0.107,0.0076,0.39409999999999995,15.0,9.0,0.6,4.9,0.01,-0.2112,-0.3479
^KS11,slow_k,10,76,0.001,0.023399999999999997,0.121,0.0084,0.39409999999999995,15.0,9.0,0.6,4.9,0.03,-0.2114,-0.3479
^KS11,slow_k,10,77,0.001,0.0254,0.1319,0.0091,0.39409999999999995,15.0,9.0,0.6,4.9,0.04,-0.2114,-0.3479
^KS11,slow_k,10,78,0.001,0.024300000000000002,0.1261,0.0088,0.39409999999999995,15.0,9.0,0.6,4.9,0.03,-0.2155,-0.3479
^KS11,slow_k,10,79,0.001,0.005600000000000001,0.0282,0.0028000000000000004,0.39409999999999995,14.0,7.0,0.5,4.9,-0.1,-0.2155,-0.3479
^KS11,slow_k,10,80,0.001,0.0121,0.061399999999999996,0.005,0.39409999999999995,14.0,7.0,0.5,4.9,-0.06,-0.2155,-0.3479
^KS11,slow_k,10,81,0.001,0.0168,0.0857,0.0066,0.39409999999999995,14.0,7.0,0.5,4.9,-0.02,-0.1975,-0.3479
^KS11,slow_k,10,82,0.001,0.0196,0.1005,0.0076,0.39409999999999995,14.0,7.0,0.5,4.9,-0.0,-0.2045,-0.3479
^KS11,slow_k,10,83,0.001,0.0191,0.0981,0.0074,0.39409999999999995,14.0,7.0,0.5,4.9,-0.01,-0.2045,-0.3479
^KS11,slow_k,10,84,0.001,0.0175,0.0897,0.0069,0.39409999999999995,14.0,7.0,0.5,4.9,-0.02,-0.2116,-0.3479
^KS11,slow_k,10,85,0.001,0.0208,0.1072,0.008100000000000001,0.39409999999999995,14.0,7.0,0.5,4.9,0.01,-0.2115,-0.3479
^KS11,slow_k,10,86,0.001,0.0194,0.0998,0.0077,0.39409999999999995,14.0,7.0,0.5,4.9,-0.0,-0.2115,-0.3479
^KS11,slow_k,10,87,0.001,0.0173,0.0886,0.0069,0.39409999999999995,14.0,7.0,0.5,4.9,-0.02,-0.2115,-0.3479
^KS11,slow_k,10,88,0.001,0.0218,0.1125,0.0084,0.39409999999999995,14.0,7.0,0.5,4.9,0.01,-0.1942,-0.3479
^KS11,slow_k,10,89,0.001,0.025,0.12960000000000002,0.0096,0.39409999999999995,14.0,7.0,0.5,4.9,0.03,-0.1942,-0.3479
^KS11,slow_k,10,90,0.001,-0.0051,-0.025,-0.0007000000000000001,0.39409999999999995,12.0,5.0,0.4167,4.9,-0.17,-0.275,-0.3479
^KS11,slow_k,11,60,0.001,0.04,0.2138,0.0115,0.39409999999999995,18.0,12.0,0.6667000000000001,4.9,0.16,-0.2177,-0.3479
^KS11,slow_k,11,61,0.001,0.04,0.2138,0.0115,0.39409999999999995,18.0,12.0,0.6667000000000001,4.9,0.16,-0.2177,-0.3479
^KS11,slow_k,11,62,0.001,0.0365,0.1937,0.0106,0.39409999999999995,18.0,11.0,0.6111,4.9,0.13,-0.21760000000000002,-0.3479
^KS11,slow_k,11,63,0.001,0.04019999999999999,0.2151,0.0116,0.39409999999999995,18.0,11.0,0.6111,4.9,0.16,-0.21109999999999998,-0.3479
^KS11,slow_k,11,64,0.001,0.026699999999999998,0.1392,0.0084,0.39409999999999995,17.0,10.0,0.5882000000000001,4.9,0.05,-0.21109999999999998,-0.3479
^KS11,slow_k,11,65,0.001,0.0263,0.1367,0.0083,0.39409999999999995,17.0,10.0,0.5882000000000001,4.9,0.05,-0.21109999999999998,-0.3479
^KS11,slow_k,11,66,0.001,0.0274,0.1432,0.0086,0.39409999999999995,17.0,10.0,0.5882000000000001,4.9,0.06,-0.21109999999999998,-0.3479
^KS11,slow_k,11,67,0.001,0.0274,0.1432,0.0086,0.39409999999999995,17.0,10.0,0.5882000000000001,4.9,0.06,-0.21109999999999998,-0.3479
^KS11,slow_k,11,68,0.001,0.0263,0.1369,0.0083,0.39409999999999995,17.0,10.0,0.5882000000000001,4.9,0.05,-0.2155,-0.3479
^KS11,slow_k,11,69,0.001,0.0263,0.13699999999999998,0.0083,0.39409999999999995,17.0,10.0,0.5882000000000001,4.9,0.05,-0.2125,-0.3479
^KS11,slow_k,11,70,0.001,0.0285,0.1489,0.009000000000000001,0.39409999999999995,17.0,10.0,0.5882000000000001,4.9,0.07,-0.2125,-0.3479
^KS11,slow_k,11,71,0.001,0.029500000000000002,0.1548,0.0092,0.39409999999999995,17.0,10.0,0.5882000000000001,4.9,0.07,-0.2125,-0.3479
^KS11,slow_k,11,72,0.001,0.0354,0.18760000000000002,0.0109,0.39409999999999995,17.0,11.0,0.6470999999999999,4.9,0.12,-0.2125,-0.3479
^KS11,slow_k,11,73,0.001,0.0368,0.1956,0.0113,0.39409999999999995,17.0,11.0,0.6470999999999999,4.9,0.13,-0.2072,-0.3479
^KS11,slow_k,11,74,0.001,0.0351,0.1859,0.0108,0.39409999999999995,17.0,11.0,0.6470999999999999,4.9,0.12,-0.2072,-0.3479
^KS11,slow_k,11,75,0.001,0.034,0.17980000000000002,0.0105,0.39409999999999995,17.0,11.0,0.6470999999999999,4.9,0.11,-0.2072,-0.3479
^KS11,slow_k,11,76,0.001,0.0366,0.19469999999999998,0.0113,0.39409999999999995,17.0,11.0,0.6470999999999999,4.9,0.12,-0.20739999999999997,-0.3479
^KS11,slow_k,11,77,0.001,0.0385,0.2053,0.0118,0.39409999999999995,17.0,11.0,0.6470999999999999,4.9,0.14,-0.20739999999999997,-0.3479
^KS11,slow_k,11,78,0.001,0.0354,0.18780000000000002,0.0109,0.39409999999999995,17.0,11.0,0.6470999999999999,4.9,0.11,-0.2115,-0.3479
^KS11,slow_k,11,79,0.001,0.0194,0.09970000000000001,0.0067,0.39409999999999995,16.0,9.0,0.5625,4.9,-0.0,-0.2115,-0.3479
^KS11,slow_k,11,80,0.001,0.026000000000000002,0.1351,0.0087,0.39409999999999995,16.0,9.0,0.5625,4.9,0.04,-0.2115,-0.3479
^KS11,slow_k,11,81,0.001,0.030699999999999998,0.1612,0.01,0.39409999999999995,16.0,9.0,0.5625,4.9,0.07,-0.1934,-0.3479
^KS11,slow_k,11,82,0.001,0.0335,0.1771,0.0109,0.39409999999999995,16.0,9.0,0.5625,4.9,0.09,-0.2005,-0.3479
^KS11,slow_k,11,83,0.001,0.0331,0.1744,0.0108,0.39409999999999995,16.0,9.0,0.5625,4.9,0.09,-0.2005,-0.3479
^KS11,slow_k,11,84,0.001,0.0315,0.1654,0.0103,0.39409999999999995,16.0,9.0,0.5625,4.9,0.08,-0.2076,-0.3479
^KS11,slow_k,11,85,0.001,0.035,0.1855,0.0115,0.39409999999999995,16.0,9.0,0.5625,4.9,0.1,-0.2075,-0.3479
^KS11,slow_k,11,86,0.001,0.0336,0.1776,0.011000000000000001,0.39409999999999995,16.0,9.0,0.5625,4.9,0.09,-0.2075,-0.3479
^KS11,slow_k,11,87,0.001,0.0315,0.1656,0.0104,0.39409999999999995,16.0,9.0,0.5625,4.9,0.08,-0.2075,-0.3479
^KS11,slow_k,11,88,0.001,0.036000000000000004,0.1911,0.011699999999999999,0.39409999999999995,16.0,9.0,0.5625,4.9,0.11,-0.19010000000000002,-0.3479
^KS11,slow_k,11,89,0.001,0.0392,0.2095,0.0127,0.39409999999999995,16.0,9.0,0.5625,4.9,0.13,-0.19010000000000002,-0.3479
^KS11,slow_k,11,90,0.001,0.0073,0.0364,0.0039000000000000003,0.39409999999999995,14.0,7.0,0.5,4.9,-0.08,-0.2713,-0.3479
^KS11,slow_k,12,60,0.001,0.036699999999999997,0.195,0.01,0.39409999999999995,19.0,12.0,0.6315999999999999,4.9,0.13,-0.2206,-0.3479
^KS11,slow_k,12,61,0.001,0.036699999999999997,0.195,0.01,0.39409999999999995,19.0,12.0,0.6315999999999999,4.9,0.13,-0.2206,-0.3479
^KS11,slow_k,12,62,0.001,0.0332,0.1752,0.0092,0.39409999999999995,19.0,11.0,0.5789,4.9,0.1,-0.22039999999999998,-0.3479
^KS11,slow_k,12,63,0.001,0.0369,0.1963,0.0102,0.39409999999999995,19.0,11.0,0.5789,4.9,0.13,-0.2122,-0.3479
^KS11,slow_k,12,64,0.001,0.0235,0.1216,0.006999999999999999,0.39409999999999995,18.0,10.0,0.5556,4.9,0.03,-0.2122,-0.3479
^KS11,slow_k,12,65,0.001,0.0255,0.1325,0.0076,0.39409999999999995,18.0,11.0,0.6111,4.9,0.04,-0.2028,-0.3479
^KS11,slow_k,12,66,0.001,0.026699999999999998,0.139,0.0079,0.39409999999999995,18.0,11.0,0.6111,4.9,0.05,-0.2028,-0.3479
^KS11,slow_k,12,67,0.001,0.026699999999999998,0.139,0.0079,0.39409999999999995,18.0,11.0,0.6111,4.9,0.05,-0.2028,-0.3479
^KS11,slow_k,12,68,0.001,0.0255,0.13269999999999998,0.0076,0.39409999999999995,18.0,11.0,0.6111,4.9,0.04,-0.2072,-0.3479
^KS11,slow_k,12,69,0.001,0.0255,0.1328,0.0077,0.39409999999999995,18.0,11.0,0.6111,4.9,0.04,-0.20420000000000002,-0.3479
^KS11,slow_k,12,70,0.001,0.0277,0.1447,0.0083,0.39409999999999995,18.0,11.0,0.6111,4.9,0.06,-0.20420000000000002,-0.3479
^KS11,slow_k,12,71,0.001,0.0288,0.1506,0.0085,0.39409999999999995,18.0,11.0,0.6111,4.9,0.07,-0.20420000000000002,-0.3479
^KS11,slow_k,12,72,0.001,0.0346,0.1833,0.0101,0.39409999999999995,18.0,12.0,0.6667000000000001,4.9,0.11,-0.20420000000000002,-0.3479
^KS11,slow_k,12,73,0.001,0.036000000000000004,0.1912,0.0105,0.39409999999999995,18.0,12.0,0.6667000000000001,4.9,0.12,-0.1989,-0.3479
^KS11,slow_k,12,74,0.001,0.034300000000000004,0.1815,0.01,0.39409999999999995,18.0,12.0,0.6667000000000001,4.9,0.11,-0.1989,-0.3479
